sample,condition,B,CD4 T,CD8 T,DC,Mono,NK,other,other T,conflict
A1,sALS_slow,0.029555979297194224,0.37006265322800325,0.08948515390901661,0.013756469626804685,0.14682647779896485,0.27349496050122585,0.019885589757559247,0.05693271588123127,True
A2,control,0.10298761233908185,0.23184357541899442,0.26354141365071654,0.0010930289045421424,0.040684964780179744,0.3257226135535584,0.011294632013602137,0.02283215933932475,False
A3,control,0.12121642745488134,0.3750177632513855,0.13656387665198239,0.011084268864572972,0.16484297285775187,0.12562171379849368,0.012789540997584198,0.05286343612334802,False
A4,control,0.10130663499066689,0.5077210249448498,0.21432207704055659,0.0008484642796538266,0.01561174274563041,0.06770744951637536,0.007466485660953674,0.08501612082131342,False
A5,control,0.055989583333333336,0.3447265625,0.18391927083333334,0.007161458333333333,0.052408854166666664,0.3076171875,0.010091145833333334,0.0380859375,False
B1,sALS_fast,0.14086193136472466,0.4590316573556797,0.25884543761638734,0.0010641127959563714,0.028065974993349296,0.07648310720936419,0.004921521681298217,0.030726256983240222,True
B2,control,0.1076627300192255,0.26407580335072783,0.20145564405383137,0.01386981598461961,0.13334248832738257,0.16382861851139796,0.019088162592694316,0.09667673716012085,False
B3,sALS_slow,0.023166023166023165,0.502079002079002,0.07484407484407485,0.005197505197505198,0.06934956934956935,0.24086724086724087,0.009504009504009503,0.07499257499257499,False
B4,control,0.038467781204349946,0.2381106963155332,0.4578802142509333,0.007304009089433534,0.08148027917545853,0.13049829573121247,0.008440188281123194,0.037818535951955855,False
B5,control,0.0889556724267468,0.3051840721262209,0.39383921863260707,0.006912096168294515,0.07062359128474831,0.09992486851990984,0.012622088655146507,0.02193839218632607,False
C1,sALS_fast,0.050842922130050844,0.3843992507358844,0.11854428686111855,0.013781107840513781,0.19614664169119614,0.19801980198019803,0.01056997591651057,0.027696012844527697,True
C2,C9-ALS,0.0593588698723173,0.3778864439011138,0.13922847052431406,0.008149959250203748,0.1532192339038305,0.19654985058408042,0.010187449062754686,0.05541972290138549,False
C3,sALS_fast,0.16445818610129564,0.2479387514723204,0.3212603062426384,0.007361601884570083,0.1597467608951708,0.06581272084805653,0.015312131919905771,0.018109540636042403,False
C4,control,0.15058424425179043,0.3754240482472672,0.209574067093856,0.003580851865812288,0.0889558989822842,0.1078024877497173,0.009046362608367886,0.05503203920090464,False
C5,sALS_slow,0.12388392857142858,0.39158163265306123,0.1485969387755102,0.0074936224489795915,0.13966836734693877,0.11639030612244898,0.008928571428571428,0.06345663265306123,False
D1,control,0.11474154435226548,0.4342054881940013,0.10197830248883216,0.01021059349074665,0.053477983407785576,0.22437779195915764,0.0389278876834716,0.02208040842373963,True
D2,control,0.027645788336933045,0.3406767458603312,0.3447084233261339,0.006911447084233261,0.175377969762419,0.059755219582433405,0.024622030237580993,0.020302375809935207,False
D3,C9-ALS,0.12617079889807162,0.48333333333333334,0.11763085399449036,0.0026170798898071624,0.031818181818181815,0.1403581267217631,0.03512396694214876,0.06294765840220386,False
D4,sALS_fast,0.0718197465185417,0.2778907839148803,0.3278047253950868,0.002659990611797841,0.08199029885776873,0.17978407135033642,0.015177593490846504,0.04287278986074167,False
D5,sALS_fast,0.08052523334915361,0.35453251067869007,0.258186995728524,0.011390602752728999,0.07040025312450561,0.15994304698623635,0.00791014080050625,0.057111216579655115,False
E1,control,0.18312586445366527,0.29432918395574,0.1946058091286307,0.00995850622406639,0.07634854771784233,0.1594744121715076,0.008852005532503458,0.07330567081604426,True
E2,sALS_slow,0.02056938440900283,0.019376956327321507,0.05947235057385601,0.01729020718437919,0.5501565061857207,0.2587568937248472,0.04993292592040543,0.024444775674467133,False
E3,control,0.15061268807197145,0.3558244144563363,0.26167209554831705,0.004498216224600589,0.04172483325577788,0.10578563673026213,0.021870637505816658,0.058011478206917946,False
E4,control,0.04941947008038106,0.4392676391783269,0.30991366478118487,0.007442691277165823,0.08529324203632033,0.061625483774933015,0.006847275974992557,0.04019053289669545,False
E5,sALS_slow,0.11064867967853043,0.48048220436280137,0.14423076923076922,0.0018656716417910447,0.07893226176808267,0.1417910447761194,0.008036739380022962,0.03401262916188289,False
F1,control,0.06143022156883335,0.30830620602751235,0.2787986978893206,0.01228604431376667,0.206972592670377,0.07182610521894361,0.017326472750183765,0.04305365956106269,False
F2,control,0.054061251664447404,0.42876165113182424,0.13754993342210386,0.009587217043941412,0.18122503328894807,0.13062583222370172,0.017177097203728363,0.041011984021304924,False
F3,C9-ALS,0.05362156092083099,0.20802919708029197,0.4215328467153285,0.012071869736103313,0.21294216732172935,0.056850084222347,0.017265581134194272,0.01768669286917462,False
F4,sALS_fast,0.07109227871939737,0.5610483364720653,0.10875706214689265,0.0018832391713747645,0.021343377275580666,0.19005021971123667,0.009573132454488386,0.036252354048964215,False
F5,sALS_fast,0.1385455590686979,0.4198045415349238,0.17275079045702788,0.007329692440356425,0.10218453578614545,0.11468812877263582,0.009629203794193734,0.03506754814601897,False
G1,sALS_slow,0.1595325451827694,0.3034379671150972,0.1652398423698872,0.0031254246500883273,0.11047696697920913,0.13561625220818047,0.026498165511618425,0.09607283598314989,False
G2,sALS_fast,0.10185185185185185,0.30403537866224434,0.13405196241017137,0.018656716417910446,0.189469320066335,0.16141514648977334,0.009535655058043118,0.08098396904367054,False
G3,sALS_slow,0.037423392880427696,0.33980962315816926,0.24735949928282697,0.002738297040031295,0.12557047855000653,0.20576346329378015,0.01695136262876516,0.024383883165992958,False
G4,sALS_fast,0.0705984892504358,0.42155723416618246,0.2807960488088321,0.0013073794305636258,0.03704241719930273,0.118390470656595,0.004648460197559558,0.06565950029052876,False
G5,control,0.08306801736613603,0.28712011577424024,0.34891461649782923,0.010130246020260492,0.08118668596237337,0.11924746743849493,0.00824891461649783,0.06208393632416787,False
H1,control,0.06184419713831479,0.331637519872814,0.15230524642289348,0.011764705882352941,0.16534181240063592,0.22130365659777423,0.012400635930047695,0.04340222575516693,False
H2,sALS_slow,0.07013110093192229,0.36502922129205495,0.07660717106302321,0.024008845364081505,0.24008845364081505,0.1694834939188122,0.009161269941557415,0.045490443847733375,False
H3,sALS_slow,0.05246422893481717,0.4161005925711808,0.25119236883942764,0.014019366960543431,0.12357277063159416,0.115768174591704,0.0053475935828877,0.021534903887845066,False
H4,control,0.11718504555450833,0.48947533773169966,0.18818724473766887,0.0097392397109645,0.11200125667609173,0.04743952246308514,0.006440464970153943,0.029531888155827836,False
H5,C9-ALS,0.10869333333333334,0.3104,0.32277333333333336,0.00736,0.08469333333333333,0.13269333333333333,0.0144,0.018986666666666666,False
