celltype,mean_C9,mean_ctrl,diff,p,p_fdr
Treg,0.012027657477739297,0.015140680267279395,-0.0031130227895400982,0.11784005468215993,0.967053998632946
HSPC,0.002444605079156342,0.0020682846282040596,0.0003763204509522823,0.19521531100478468,0.967053998632946
NK_CD56bright,0.00793495528246524,0.004742908972777367,0.003192046309687872,0.22693096377306904,0.967053998632946
CD8 TCM,0.00826712754922404,0.014808111748229654,-0.006540984199005614,0.26220095693779905,0.967053998632946
Platelet,0.01600930505080407,0.011027112109650702,0.004982192941153369,0.26220095693779905,0.967053998632946
cDC2,0.003904638165643872,0.005207718707111155,-0.0013030805414672832,0.26220095693779905,0.967053998632946
Plasmablast,0.0014706498166580945,0.0005843443099382657,0.0008863055067198288,0.2859322816173916,0.967053998632946
ASDC,0.00016476828291508926,0.00031222131931632984,-0.00014745303640124058,0.30218741600416466,0.967053998632946
Eryth,0.0,0.0003748910054744543,-0.0003748910054744543,0.3427566372556764,0.967053998632946
pDC,0.003166681964138528,0.002231676867056621,0.0009350050970819068,0.43417634996582366,0.967053998632946
MAIT,0.015355980396601295,0.019521061258754226,-0.0041650808621529305,0.4844839371155161,0.967053998632946
dnT,0.01770691452495146,0.01845052798033009,-0.0007436134553786278,0.5935748462064252,0.967053998632946
ILC,0.0008520984660623801,0.0004655717065804605,0.0003865267594819196,0.5935748462064252,0.967053998632946
cDC1,0.00027854616174937156,0.00024931051922945304,2.9235642519918523e-05,0.6377426069418369,0.967053998632946
CD16 Mono,0.010597675076035458,0.017988577274813324,-0.007390902198777865,0.6520847573479153,0.967053998632946
CD14 Mono,0.11007055401823329,0.08363125063967371,0.026439303378559584,0.6520847573479153,0.967053998632946
NK Proliferating,0.001020719753636233,0.001416517588475351,-0.000395797834839118,0.6520847573479153,0.967053998632946
CD4 Proliferating,0.0006381842429630827,0.0006242248379175681,1.3959405045514618e-05,0.7013499813852556,0.967053998632946
B intermediate,0.021041321794068212,0.027382070875002943,-0.006340749080934731,0.7119617224880384,0.967053998632946
Doublet,0.0,7.999360051195904e-05,-7.999360051195904e-05,0.7236736098317631,0.967053998632946
CD4 CTL,0.0018383017164726645,0.004018304852114037,-0.002180003135641372,0.765491893087039,0.967053998632946
CD4 Naive,0.1227963317192543,0.1293767123098628,-0.006580380590608503,0.7742993848257007,0.967053998632946
CD8 Naive,0.03245730595992938,0.03359117454347592,-0.0011338685835465406,0.7742993848257007,0.967053998632946
CD8 Proliferating,0.00031861126707842036,0.00022881129821673783,8.979996886168253e-05,0.897381989518,0.967053998632946
B memory,0.013160314284922219,0.011180584151543686,0.001979730133378533,0.9022556390977444,0.967053998632946
CD4 TEM,0.023304923871483058,0.02346766715587162,-0.00016274328438856123,0.9022556390977444,0.967053998632946
CD4 TCM,0.1803800308664565,0.176272552774174,0.004107478092282485,0.9022556390977444,0.967053998632946
B naive,0.0512544195987818,0.05361418341006871,-0.0023597638112869135,0.967053998632946,0.967053998632946
CD8 TEM,0.20995715908934434,0.19502055622427564,0.014936602865068704,0.967053998632946,0.967053998632946
NK,0.12301367372523359,0.13459831952220924,-0.011584645796975657,0.967053998632946,0.967053998632946
gdT,0.008566544797998373,0.012324077541860524,-0.0037575327438621516,0.967053998632946,0.967053998632946
