protein,mean_C9,mean_other,diff,p,p_fdr
CD68,0.3566660183235536,0.33828836186967165,0.018377656453881952,0.09815447710184551,0.6380041011619958
CD86,1.3646689417159674,1.3823651236114878,-0.017696181895520358,0.09815447710184551,0.6380041011619958
CD206,0.3651930749034778,0.3695280592930182,-0.004334984389540386,0.26220095693779905,0.9022556390977444
HLA-DR,1.1000713160803606,1.14429117464036,-0.044219858559999325,0.43417634996582366,0.9022556390977444
CD163,0.5282553965210105,0.539309205498071,-0.011053808977060542,0.5935748462064252,0.9022556390977444
CD16,1.2938908656407855,1.3212647035041547,-0.02737383786336922,0.5935748462064252,0.9022556390977444
CD11c,1.97648394413816,1.9928353634954823,-0.016351419357322206,0.6520847573479153,0.9022556390977444
CD14,1.5202266777189102,1.5085843937066212,0.01164228401228895,0.7119617224880384,0.9022556390977444
CD11b-1,3.0217080109033594,2.972003914804873,0.04970409609848625,0.7119617224880384,0.9022556390977444
CD64,1.9944169895219033,2.0066809430248687,-0.012263953502965386,0.8374572795625428,0.9022556390977444
CD115,0.14926209393433193,0.1441956806094942,0.005066413324837732,0.8374572795625428,0.9022556390977444
CD11b-2,2.319357361847062,2.29022913784552,0.029128224001542247,0.9022556390977444,0.9022556390977444
CD169,0.5479053001700726,0.560205607729218,-0.012300307559145462,0.9022556390977444,0.9022556390977444
