protein,mean_C9,mean_other,diff,p,p_fdr
CD68,0.3566660183235536,0.33720857725080505,0.01945744107274855,0.03308270676691729,0.4300751879699248
CD86,1.3646689417159674,1.3972160856724072,-0.03254714395643976,0.0806561859193438,0.5242652084757347
HLA-DR,1.1000713160803606,1.1638927426977985,-0.06382142661743795,0.1662337662337662,0.7203463203463202
CD11c,1.97648394413816,2.01944883970528,-0.04296489556712002,0.3863294600136705,0.967053998632946
CD16,1.2938908656407855,1.324045084396087,-0.030154218755301443,0.5935748462064252,0.967053998632946
CD14,1.5202266777189102,1.516902697542026,0.003323980176884289,0.7119617224880384,0.967053998632946
CD115,0.14926209393433193,0.14136597402764606,0.007896119906685872,0.7119617224880384,0.967053998632946
CD169,0.5479053001700726,0.5569957604331742,-0.009090460263101674,0.7742993848257007,0.967053998632946
CD11b-1,3.0217080109033594,2.9953878177153217,0.026320193188037688,0.9022556390977444,0.967053998632946
CD163,0.5282553965210105,0.5318042702660792,-0.003548873745068737,0.9022556390977444,0.967053998632946
CD64,1.9944169895219033,2.014172896840317,-0.0197559073184137,0.967053998632946,0.967053998632946
CD11b-2,2.319357361847062,2.3150026807333055,0.004354681113756698,0.967053998632946,0.967053998632946
CD206,0.3651930749034778,0.3659296784039176,-0.000736603500439803,0.967053998632946,0.967053998632946
