gene,in_mono,C9,ctrl,sALS,d_vs_ctrl,p_vs_ctrl,d_vs_sALS,p_vs_sALS
GPNMB,False,,,,,,,
APOE,False,,,,,,,
TREM2,False,,,,,,,
TYROBP,True,8.505464695060398,8.454600396647914,8.452470247637727,0.05086429841248474,0.4844839371155161,0.05299444742267134,0.0806561859193438
CD68,True,6.658508632607688,6.7482224722979645,6.749914885725122,-0.08971383969027613,0.3863294600136705,-0.09140625311743378,0.4844839371155161
ITGAX,True,5.3433800930947095,5.202956518779059,5.243581770881196,0.14042357431565033,0.3863294600136705,0.09979832221351348,0.6520847573479153
CTSB,True,6.126590070494141,6.066545728217797,6.091928291533545,0.06004434227634459,0.43417634996582366,0.0346617789605963,0.7119617224880384
CTSD,True,6.611107289184007,6.566078801285469,6.583963106286381,0.04502848789853786,0.5935748462064252,0.027144182897625768,0.5935748462064252
LGALS3,True,6.775433544993026,6.809986266107748,6.797874621203444,-0.03455272111472141,0.5935748462064252,-0.02244107621041813,0.9022556390977444
SPP1,False,,,,,,,
FTL,True,7.909771834248432,7.9773829621322,8.01538160676351,-0.06761112788376789,0.9022556390977444,-0.10560977251507797,0.4844839371155161
APOC1,False,,,,,,,
LPL,True,1.0878582269674095,1.2379969538805415,1.217922520850924,-0.15013872691313201,0.8983669653069706,-0.13006429388351437,0.8982811945061692
CD9,True,3.5965432106529045,2.6262372536026337,2.560021508812856,0.9703059570502708,0.04237867395762132,1.0365217018400483,0.03308270676691729
MSR1,True,2.9547790688676896,2.898881273424902,3.289986537112765,0.0558977954427875,0.7742993848257007,-0.3352074682450752,0.3420369104579631
CD63,True,5.218316776894825,5.090804463106354,5.044281223596316,0.12751231378847105,0.3863294600136705,0.17403555329850828,0.26220095693779905
