sample,condition,n_cells,median_genes,median_counts,median_pct_mt,median_pct_ribo
A1,sALS_slow,7736,1290.5,1993.0,0.7,1.6
A2,control,8799,1252.0,1921.0,0.6,2.0
A3,control,7405,1155.0,1732.0,0.6,2.4
A4,control,6311,1261.0,2001.0,0.9,4.0
A5,control,6524,1280.5,2089.0,0.8,2.4
B1,sALS_fast,7980,1205.0,1830.0,0.5,2.6
B2,control,7696,1295.0,1990.5,0.9,2.4
B3,sALS_slow,7117,1394.0,2208.0,0.4,2.4
B4,control,6473,1327.0,2038.0,0.6,2.0
B5,control,7109,1398.0,2251.0,0.6,2.5
C1,sALS_fast,7867,1285.0,2030.0,0.7,2.9
C2,C9-ALS,7762,1275.0,1971.0,0.7,2.7
C3,sALS_fast,7205,1349.0,2088.0,0.4,3.2
C4,control,5650,1340.0,2067.5,0.8,2.1
C5,sALS_slow,6620,1373.0,2242.0,0.8,3.0
D1,control,8314,1267.0,2031.0,0.8,2.8
D2,control,7408,1476.0,2316.5,0.5,1.8
D3,C9-ALS,7763,1245.0,1967.0,0.6,2.8
D4,sALS_fast,6803,1474.0,2317.0,0.6,2.3
D5,sALS_fast,6693,1238.0,1968.0,1.3,3.3
E1,control,7622,1136.0,1772.5,1.2,2.7
E2,sALS_slow,7049,1476.0,2350.0,0.3,1.0
E3,control,6988,992.0,1478.0,0.6,2.9
E4,control,7095,1413.0,2215.0,0.7,2.8
E5,sALS_slow,7379,1385.0,2223.0,0.6,3.1
F1,control,10150,1289.0,2049.0,0.7,2.2
F2,control,8020,1474.0,2365.0,0.6,2.0
F3,C9-ALS,7544,1289.0,2068.0,0.6,2.1
F4,sALS_fast,6764,1334.0,2091.5,0.8,2.6
F5,sALS_fast,7336,1260.5,1947.0,0.7,2.5
G1,sALS_slow,7785,1163.0,1766.0,0.8,2.2
G2,sALS_fast,7628,1328.0,2040.5,0.8,2.2
G3,sALS_slow,8116,1315.0,2078.5,0.6,2.4
G4,sALS_fast,7260,1422.0,2235.5,0.7,2.3
G5,control,7283,1134.0,1752.0,0.7,2.9
H1,control,6666,1299.5,2023.0,0.6,1.9
H2,sALS_slow,6682,1231.0,1889.0,0.6,1.9
H3,sALS_slow,7300,1300.0,2123.0,0.6,3.2
H4,control,6729,1277.0,1934.0,0.4,2.4
H5,C9-ALS,9936,1146.0,1712.5,0.6,2.3
