genotype,donor,program,delta,n_path
C9-ALS,C2_NZLM,myeloid,-0.2634049214904021,56
C9-ALS,C2_NZLM,complement,-0.3004847242580352,56
C9-ALS,C2_NZLM,DAM,-0.20069188731957321,56
C9-ALS,C2_NZLM,NFkB_TNF,-0.13038195297870736,56
C9-ALS,C3_AU87,myeloid,-0.11647944438152902,590
C9-ALS,C3_AU87,complement,-0.027804730769202327,590
C9-ALS,C3_AU87,DAM,-0.1276112002532659,590
C9-ALS,C3_AU87,NFkB_TNF,-0.05872890444593297,590
C9-ALS,C4_N280,myeloid,0.029782575298840763,390
C9-ALS,C4_N280,complement,0.036951264505175274,390
C9-ALS,C4_N280,DAM,0.17386270973053897,390
C9-ALS,C4_N280,NFkB_TNF,-0.03443021591979381,390
sALS,S1_GW50,myeloid,0.05674072874128622,517
sALS,S1_GW50,complement,0.11391256668984256,517
sALS,S1_GW50,DAM,0.08799888985521576,517
sALS,S1_GW50,NFkB_TNF,-0.03305043315143321,517
sALS,S4_GW35,myeloid,-0.19923631985357254,178
sALS,S4_GW35,complement,-0.19366785380767013,178
sALS,S4_GW35,DAM,-0.39071610095822357,178
sALS,S4_GW35,NFkB_TNF,-0.0767128912801171,178
sALS,S5_GW47,myeloid,-0.08899106447523247,43
sALS,S5_GW47,complement,-0.008694197892834127,43
sALS,S5_GW47,DAM,-0.10243674354779908,43
sALS,S5_GW47,NFkB_TNF,0.018819001314165574,43
