Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Neutrophil Degranulation R-HSA-6798695,0.5765427383052412,2.28974158627588,0.0,0.0,0.0,171/444,14.60%,CD44;LYZ;CHIT1;FRMPD3;S100A11;AGPAT2;CYBA;CHI3L1;CR1;SERPINA1;FCER1G;CTSC;FCGR2A;SERPINA3;CTSB;CD68;FGR;PYGL;RAB27A;CTSD;OSCAR;HSPA6;CD300A;RNASET2;PTPRC;VAMP8;HEBP2;ITGB2;CTSS;ANO6;CD53;C5AR1;SLC11A1;TYROBP;TLR2;SERPINB1;B2M;NME2;TMBIM1;CTSH;LAIR1;ALOX5;FTL;SIGLEC9;ARSB;LPCAT1;CTSZ;C3AR1;CCT2;HSPA1B;CD63;GMFG;CTSA;ADAM8;GLB1;PTAFR;CD93;NPC2;CD58;HEXB;PTPN6;STOM;ANXA2;IMPDH2;RAB31;SLC2A5;CYBB;MAN2B1;FPR1;CLEC5A;LGALS3;ITGAM;NFAM1;FPR2;CD55;TNFRSF1B;MAGT1;NCKAP1L;GRN;SDCBP;ARHGAP9;RNASE2;DIAPH1;PGM2;C3;DDX3X;LAMTOR2;S100A9;SIGLEC14;MGST1;VAT1;SLC2A3;GPR84;PTX3;RNASE3;CREG1;CAPN1;OSTF1;CSTB;PPIA;TXNDC5;ERP44;PTPRJ;LRG1;DGAT1;PLAUR;CEACAM21;CMTM6;SLC15A4;SIGLEC5;RAP2C;DOK3;OLR1;ASAH1;GLIPR1;QPCT;HVCN1;TMEM30A;LTF;DNAJC3;IQGAP2;PRKCSH;AP2A2;LTA4H;TSPAN14;HSP90AA1;PYCARD;CKAP4;PECAM1;SERPINB6;GYG1;DDOST;DNASE1L1;IDH1;ADGRE5;PGM1;TRPM2;GNS;IGF2R;GUSB;DOCK2;S100A8;KCMF1;CPNE3;SURF4;DYNC1LI1;CCT8;GGH;GCA;BIN2;NFKB1;TNFAIP6;TUBB;ATP6AP2;VAPA;FCAR;HPSE;PRCP;MAPK14;MNDA;VCP;PKM;CYFIP1;IQGAP1;BST2;APEH;PRKCD;XRCC5;PRDX4;TCIRG1;HUWE1
prerank,Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,0.6358690326308712,2.1927368603542834,0.0,0.0,0.0,30/106,8.62%,SIGLEC7;LILRA2;FCGR2B;OSCAR;CD300A;COLEC12;HCST;SIGLEC10;ITGB2;TYROBP;B2M;ICAM1;FCGR1A;LAIR1;SIGLEC9;CD1D;SIGLEC8;ITGA4;CD300LF;LILRA5;CD200;SIGLEC1;CD40;C3;MICB;SIGLEC5;IFITM1;TREM1;LILRB4;SLAMF6
prerank,Signaling By Interleukins R-HSA-449147,0.5445605330421641,2.1625565032860083,0.0,0.0,0.0,174/429,19.81%,IRS2;CCL2;LIF;CDKN1A;IL1RAP;CCL20;BCL6;TIMP1;STXBP2;HCK;NFKBIA;HMOX1;OSMR;BATF;STAT3;CLCF1;ITGB2;TNIP2;VEGFA;TNFRSF1A;MUC1;ANXA1;ICAM1;HIF1A;JAK3;ALOX5;PSMB8;CCR1;SIGIRR;CISH;DUSP3;MAPKAPK2;CEBPD;LMNB1;CSF1;GSTO1;CD4;PTPRZ1;ALPK1;PTAFR;TIFA;MYD88;PTPN9;PTPN6;LYN;PTPN2;ANXA2;MYC;MAP3K8;IRAK1;IRAK2;PSMB6;VIM;RAPGEF1;IL13RA1;FPR1;IKBIP;UBC;DUSP4;MAPK7;ITGAM;FYN;TNFRSF1B;PSME2;IL1RL1;VAV1;SHC1;CCR5;IL10RA;TP53;S100A9;SOCS3;STAT5A;TGFB1;PSME1;SYK;MSN;PPIA;IL1R1;GRB2;NOD1;STAT5B;CANX;HAVCR2;PTPN7;OPRM1;CHUK;PSMA4;CSF3R;IL10RB;F13A1;EBI3;CD86;PELI1;MAPK11;NFKB2;P4HB;HSP90AA1;CRKL;PSMA1;PSME3;ALOX15;LGALS9;IL10;IL7R;IL15RA;HSPA9;JAK1;IL6R;IFNLR1;HNRNPF;IL18BP;UBE2V1;IRAK3;IL32;NFKB1;TAB2;RELA;SOCS1;PTPN12;MAPKAPK3;MAP2K3;MAP2K1;MAPK14;GDNF;IL1RL2;TRAF6;IL17RB;STAT1;PPP2CA;BCL2L1;NLRC5;CSF2RB;CTF1;S1PR1;MCL1;PSMA3;NOD2;LONP1;N4BP1;PSMB2;PSME4;IL2RG;STAT4;PTPN5;IL2RA;MAPK1;CRK;HSPA8;IL6;LAMA5;HSP90B1;GSDMD;IL17RA;SOCS2;HNRNPA2B1;LBP;IL15;PSMB9;PTPN18;TBK1;RIPK2;PSMA7;IL33;STX3;ZEB1;PSMA2;JAK2;STX1A;CSF1R;PSMD12;NKIRAS1;PSMD2;IL12A
prerank,Complement Cascade R-HSA-166658,0.7149130309762414,2.1347127020666594,0.0,0.0006298424531069353,0.002,14/49,7.09%,CR1;C1QC;C1QB;C1QA;CFI;C5AR1;C3AR1;C1R;FCN3;CD55;C3;SERPING1;HNRNPC;C1S
prerank,Initial Triggering Of Complement R-HSA-166663,0.871093719888388,2.1034901941431494,0.0,0.0007558109437283223,0.002,8/18,7.09%,C1QC;C1QB;C1QA;C1R;FCN3;C3;HNRNPC;C1S
prerank,Regulation Of Complement Cascade R-HSA-977606,0.7280391776715923,2.0827490031843303,0.0,0.0006298424531069353,0.002,13/40,7.09%,CR1;C1QC;C1QB;C1QA;CFI;C5AR1;C3AR1;C1R;CD55;C3;SERPING1;HNRNPC;C1S
prerank,Interleukin-10 Signaling R-HSA-6783783,0.7219707339296726,2.0813998772760796,0.0,0.0005398649598059445,0.002,19/44,10.89%,CCL2;LIF;CCL20;TIMP1;STAT3;TNFRSF1A;ICAM1;CCR1;CSF1;PTAFR;FPR1;TNFRSF1B;CCR5;IL10RA;IL1R1;IL10RB;CD86;IL10;JAK1
prerank,Toll-like Receptor Cascades R-HSA-168898,0.5730279894282823,2.049967934714195,0.0,0.0014171455194906043,0.007,61/153,13.94%,CTSB;LY96;NFKBIA;ITGB2;CTSS;LY86;TNIP2;TLR2;FADD;CTSL;TLR8;SIGIRR;DUSP3;MAPKAPK2;ALPK1;CD180;TIFA;MYD88;MAP3K8;IRAK1;IRAK2;IKBIP;UBC;DUSP4;MAPK7;ITGAM;UNC93B1;TLR5;IRF7;BIRC3;TP53;BTK;TLR6;S100A9;NOD1;CHUK;TLR7;TICAM1;PELI1;MAPK11;TLR1;PLCG2;NFKB2;RIPK1;S100A8;UBE2V1;IRAK3;RIPK3;NFKB1;TAB2;RELA;SOCS1;LGMN;MAPKAPK3;MAP2K3;MAP2K1;MAPK14;GDNF;TRAF6;PPP2CA;NLRC5
prerank,Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016,0.5843206726130087,2.03829177089124,0.0,0.001819544864531146,0.011,56/131,15.65%,LY96;NFKBIA;ITGB2;LY86;TNIP2;TLR2;FADD;SIGIRR;DUSP3;MAPKAPK2;ALPK1;CD180;TIFA;MYD88;MAP3K8;IRAK1;IRAK2;IKBIP;UBC;DUSP4;MAPK7;ITGAM;IRF7;BIRC3;TP53;BTK;TLR6;S100A9;NOD1;CHUK;TICAM1;PELI1;MAPK11;TLR1;PLCG2;NFKB2;RIPK1;S100A8;UBE2V1;IRAK3;RIPK3;NFKB1;TAB2;RELA;SOCS1;MAPKAPK3;MAP2K3;MAP2K1;MAPK14;GDNF;TRAF6;PPP2CA;NLRC5;NOD2;UBE2D3;N4BP1
prerank,Creation Of C4 And C2 Activators R-HSA-166786,0.8882255926427303,1.9823901500283374,0.0,0.005794550568583804,0.035,6/12,7.09%,C1QC;C1QB;C1QA;C1R;FCN3;C1S
