Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Response To Copper Ion (GO:0046688),0.8540500772069791,2.1658458396777394,0.0,0.0013433604420869296,0.001,6/19,2.04%,AQP1;MT1A;MT1M;MT1X;LOXL2;MT2A
prerank,Immune Response-Activating Cell Surface Receptor Signaling Pathway (GO:0002429),0.8344768804770563,2.153590000582378,0.0,0.002015040663130394,0.003,10/20,6.08%,FCER1G;LILRA2;C3AR1;CR1;C5AR1;LYN;FPR1;FPR3;SH2B2;FPR2
prerank,Positive Regulation Of Phagocytosis (GO:0050766),0.671432040751908,2.1457973430205235,0.0,0.0022389340701448827,0.005,23/56,10.61%,CCL2;CYBA;FCER1G;SLC11A1;RAB27A;FCGR2B;MERTK;C2;UXT;C3;RAB31;PTPRC;TREM2;ANO6;FPR2;MYO18A;LYAR;NCKAP1L;CD300LF;CLEC7A;PYCARD;DOCK2;IL1B
prerank,Positive Regulation Of Cytokine Production (GO:0001819),0.5496654079682894,2.142006604975399,0.0,0.0016792005526086618,0.005,75/271,11.34%,ATF4;ALOX15B;CYBA;HILPDA;FGR;FCER1G;LAPTM5;LILRA2;SLC11A1;AIF1;CEBPB;TYROBP;HMOX1;CEBPG;HSPD1;TLR2;TMED10;RFTN1;FADD;CD14;HAVCR2;CD74;HSPA1B;HIF1A;PNP;XBP1;LCP1;AGPAT2;PDE4B;STAT3;IRF7;IFI16;C3;AKIRIN2;MYDGF;RAB1A;BCL10;PTPN22;ANXA1;HYAL2;BATF;TGFB1;ZBTB7B;TLR8;PTPRC;RIPK2;CD58;TLR6;TLR7;MAP3K7;LGALS9;CD86;SYK;CD40;TICAM2;DHX9;CD4;RELA;HPSE;DDX3X;LAMTOR5;CLEC7A;PYCARD;TLR1;CD226;IL12RB1;RUNX1;DHX33;APPL1;IL1B;TANK;SCIMP;MYD88;CGAS;FLOT1
prerank,Anterograde Trans-Synaptic Signaling (GO:0098916),-0.5964952529170005,-2.117909499178883,0.0,0.0007129571447876525,0.001,61/174,14.39%,SLC18A3;SNCG;CPLX1;SLC6A1;SNCB;PENK;GRIN1;KCNA1;SYT5;CACNB2;SNAP25;UTS2;GRIK2;GLRA1;SYN1;KCNC4;AMPH;LPAR3;HTR7;SST;KIF5A;CHRM2;KCNN1;GLRA3;SLC12A5;KCNK3;GABRB1;NRXN1;HTR2A;SLC1A2;GPR176;GABRB2;SYT1;GRIN2A;LRP6;AKAP9;DLG2;OPRK1;GABBR2;CHRNB2;KCNQ2;SLC1A1;CACNB1;NLGN3;GLRA2;NPTX1;UNC119;GRIA1;GIPC1;CHRNA3;DLG4;APBA1;SYN2;CHRND;CACNA1E;GRM4;HRH3;PDYN;HTR1F;HCRTR2;KCNIP2
prerank,Apoptotic Mitochondrial Changes (GO:0008637),0.7384454235931949,2.1132432150764022,0.0,0.002418048795756473,0.008,12/32,9.78%,SOD2;SFN;HK2;HSPD1;BAX;BCL2A1;GGCT;ATG3;BID;BOK;MFF;CLU
prerank,Regulation Of Phagocytosis (GO:0050764),0.6653729053869117,2.1071286297754193,0.0,0.0020150406631303944,0.008,22/57,10.61%,CYBA;FGR;PLSCR1;FCER1G;SLC11A1;HCK;RAB27A;FCGR2B;MERTK;TLR2;PTPRC;TREM2;TGM2;FPR2;LYAR;SYK;CLEC7A;PYCARD;SNX3;DOCK2;SCARB1;IL1B
prerank,Phagocytosis (GO:0006909),0.6493566265354574,2.1043277372344877,0.0,0.002494812249590012,0.012,28/63,14.53%,SLC11A1;AIF1;ITGB2;FCGR2B;MSR1;TYROBP;MERTK;CD14;CORO1C;ANXA1;CD302;ITGAM;JMJD6;SRPX;TREM2;TGM2;CD93;ITGB3;TICAM2;ARHGAP25;P2RY6;MYD88;SH3BP1;TLR4;ELMO1;PECAM1;VAMP7;CORO1A
prerank,Response To Unfolded Protein (GO:0006986),0.6908284676096523,2.0964088056101797,0.0,0.002686720884173859,0.015,18/44,13.02%,HSPD1;HSPA6;BAX;DNAJB1;SERPINH1;HSPH1;TMBIM6;HSPB8;ERP44;DNAJA1;DNAJB2;TRAM1;HSPB1;HSP90AA1;TOR1B;HSPA8;DNAJC4;HSP90AB1
prerank,Chemical Synaptic Transmission (GO:0007268),-0.5655901501321109,-2.0837170742772355,0.0,0.0007129571447876525,0.002,87/243,14.83%,SLC18A3;SNCG;CPLX1;CHAT;SLC6A1;SNCB;PTPRN2;PENK;SNPH;GRIN1;KCNA1;SYT5;NSG1;CACNB2;SNAP25;UTS2;GRIK2;GLRA1;SYN1;KCNC4;AMPH;HAPLN4;LPAR3;SLC5A7;GABRG2;HTR7;SST;KIF5A;CHRM2;KCNN1;GLRA3;GABBR1;SLC12A5;KCNK3;GABRB1;BRSK1;NRXN1;GRIN3B;HTR2A;GABRA2;SLC1A2;ERC2;GPR176;GABRB2;SYT1;GRIN2A;GABRA3;RIC3;LRP6;GRIA3;AKAP9;DLG2;OPRK1;GABBR2;LIN7A;CHRNB2;KCNQ2;TSPOAP1;SLC1A1;CACNB1;NLGN3;GLRA2;NPTX1;UNC119;GRID2;ERC1;GRIA1;GABRE;GIPC1;CHRNA3;DLG4;UNC13A;STXBP1;APBA1;SYN2;CHRND;SHISA6;CACNA1E;GRM4;HRH3;PDYN;HTR1F;SYN3;HCRTR2;KCNIP2;CDH8;HTR2C
prerank,Retina Homeostasis (GO:0001895),0.7705097010250288,2.082295413600118,0.0021598272138228943,0.0035822945122318114,0.023,11/25,11.47%,LYZ;F3;B2M;ATP1B2;CRB2;PRDX1;LTF;HSPB1;ACTG1;POC1B;IGHA1
prerank,Negative Regulation Of Lymphocyte Proliferation (GO:0050672),0.7284002705518319,2.080475673849754,0.0,0.0034927371494260172,0.025,12/34,6.34%,GPNMB;VSIG4;LST1;CEBPB;FCGR2B;TYROBP;CD300A;LILRB4;CR1;LYN;CD86;SPN
