Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,TNF-alpha Signaling via NF-kB,0.60752015467777,2.297319504912016,0.0,0.0,0.0,70/193,12.75%,CD44;CCL2;SOD2;IRS2;GADD45A;PFKFB3;CCL20;F3;NAMPT;CEBPB;TNC;CDKN1A;B4GALT5;TNIP2;TLR2;EFNA1;ABCA1;TIPARP;BCL6;NFIL3;VEGFA;GFPT2;LIF;SAT1;PDE4B;OLR1;AREG;IFNGR2;SPSB1;CSF1;NFKBIA;BCL3;PLEK;MYC;NINJ1;KYNU;SGK1;BCL2A1;CEBPD;DENND5A;RHOB;MAP3K8;PNRC1;RIPK2;BTG1;SOCS3;CLCF1;TAP1;RNF19B;ICAM1;IER5;RELA;PTX3;SERPINB8;STAT5A;DRAM1;SDC4;BMP2;SLC2A3;GADD45B;IL1B;TANK;KLF9;CCNL1;G0S2;TNFAIP3;PPP1R15A;GCH1;BTG3;EIF1
prerank,mTORC1 Signaling,0.6032851034932287,2.269160781014091,0.0,0.0,0.0,78/186,16.24%,IFI30;GLRX;MTHFD2;CTSC;SLC1A5;SHMT2;HK2;NAMPT;PLOD2;ITGB2;SLA;NUPR1;CDKN1A;HSPD1;P4HA1;NFIL3;PPIA;UNG;ERO1A;FADS2;SDF2L1;PSAT1;PNP;SERPINH1;XBP1;SLC9A3R1;DDIT4;CANX;STC1;RAB1A;PDK1;AK4;MTHFD2L;PRDX1;SLC6A6;SSR1;HSPA5;COPS5;ETF1;PGM1;HSPA9;PNO1;IDH1;M6PR;HMBS;SKAP2;RPN1;UBE2D3;GLA;PSME3;NMT1;DAPP1;LGMN;ENO1;SLC2A3;RDH11;PSMG1;PSMC2;TRIB3;IFRD1;PPP1R15A;SERP1;CD9;ADIPOR2;LTA4H;SLC37A4;ELOVL5;CXCR4;PGK1;CORO1A;SORD;DHFR;CCNG1;RIT1;ACTR3;PSMA4;ACTR2;UCHL5
prerank,Interferon Gamma Response,0.6027470771186412,2.257290085609618,0.0,0.0,0.0,62/189,12.56%,CCL2;SOD2;IFI30;MTHFD2;PLSCR1;FAS;NAMPT;CDKN1A;B2M;ST8SIA4;NMI;VAMP8;CD74;HIF1A;PNP;PDE4B;MT2A;PSME2;STAT3;LCP2;IRF7;APOL6;UPP1;NFKBIA;FPR1;FCGR1A;IRF8;PELI1;PTPN6;IL10RA;PTPN2;UBE2L6;PSMB8;IFITM3;IFITM2;SECTM1;LAP3;RIPK2;IL18BP;BTG1;SOCS3;CD86;SRI;OASL;TAP1;CD40;SPPL2A;LYSMD2;ICAM1;SAMHD1;CASP7;PSME1;IRF9;CSF2RB;EPSTI1;MVP;MYD88;TOR1B;IRF5;TNFAIP3;ARID5B;GCH1
prerank,Inflammatory Response,0.594627542092112,2.2343644181323947,0.0,0.0,0.0,73/190,15.35%,CCL2;PDPN;CCL20;EMP3;LPAR1;F3;NAMPT;CD48;MSR1;CDKN1A;TLR2;ABCA1;C3AR1;BEST1;CD14;LIF;HRH1;NMI;OSMR;APLNR;HIF1A;C5AR1;PDE4B;LCP2;IRF7;OLR1;IFNGR2;LYN;CSF1;NFKBIA;GNAI3;FPR1;CYBB;AQP9;TIMP1;IL10RA;GNA15;MYC;CD82;RGS16;RIPK2;RGS1;SELENOS;ITGB3;SRI;SLC31A1;SLC7A2;CD40;ICAM1;PTAFR;ADM;RELA;TNFRSF1B;CLEC5A;ABI1;PIK3R5;TLR1;P2RX7;IL1B;STAB1;RHOG;GCH1;MEFV;BST2;SLC31A2;KCNA3;IL6;EBI3;KCNJ2;ACVR1B;NLRP3;IFITM1;IFNAR1
prerank,Allograft Rejection,0.5999884364717291,2.2102647392583847,0.0,0.0,0.0,58/168,11.56%,CCL2;SPI1;FGR;TGFB2;CTSS;FAS;HCLS1;CAPG;LY86;ITGB2;FCGR2B;B2M;TLR2;C2;LIF;ST8SIA4;CD74;HIF1A;CCR1;LCP2;IRF7;IFNGR2;SRGN;LYN;CSF1;BCL3;FYB1;IRF8;CDKN2A;NCF4;BCL10;TIMP1;PTPN6;GPR65;TGFB1;PTPRC;RIPK2;TLR6;MAP3K7;IGSF6;CD86;CCR5;CCND2;WAS;TAP1;CD40;CD1D;ICAM1;CD4;DEGS1;ABI1;DYRK3;TLR1;IL12RB1;IL1B;STAB1;IFNGR1;EIF3J
prerank,Unfolded Protein Response,0.6448682836084283,2.206812312679123,0.0,0.0,0.0,29/107,8.38%,EIF4EBP1;CCL2;ATF4;MTHFD2;CEBPB;CEBPG;BAG3;VEGFA;EIF4A1;ERO1A;PSAT1;XBP1;DDIT4;STC2;DKC1;EIF2S1;NHP2;SSR1;HSPA5;XPOT;NABP1;DNAJC3;EXOSC4;PDIA6;HSPA9;BANF1;DNAJB9;NFYA;ATF6
prerank,Complement,0.572853697870092,2.148627887950756,0.0,0.0,0.0,58/187,11.93%,APOC1;PLA2G7;SERPINA1;C1QC;PLSCR1;FCER1G;CTSB;CTSC;C1QA;CTSS;F3;CTSD;CPM;CEBPB;CTSH;C2;LIPA;CR1;CP;LCP2;IRF7;OLR1;C3;LYN;GNAI3;LAMP2;GCA;FYN;GNGT2;CTSL;GNB4;GRB2;TIMP1;PLEK;USP15;KYNU;PFN1;ITGAM;ADAM9;HSPA5;LAP3;LTF;WAS;ANXA5;CASP7;S100A9;LGALS3;PIK3R5;LGMN;CLU;ZEB1;FDX1;DOCK10;DGKG;PRSS36;RHOG;GNB2;TNFAIP3
prerank,IL-6/JAK/STAT3 Signaling,0.6465287464707844,2.1267926701117057,0.0,0.0,0.0,38/79,15.35%,CD44;FAS;HMOX1;TLR2;TNFRSF1A;CD14;OSMR;CCR1;STAT3;IL13RA1;IFNGR2;CSF1;LTBR;GRB2;PTPN2;TGFB1;MAP3K8;HAX1;SOCS3;IL17RB;ITGB3;IL10RB;IRF9;TNFRSF1B;TNFRSF12A;CSF2RB;PIK3R5;IL12RB1;ITGA4;IL1B;MYD88;IFNGR1;CD9;IL6;EBI3;PIM1;ACVR1B;IFNAR1
prerank,Myc Targets V1,0.5689252794305659,2.124944695261131,0.0,0.0,0.0,80/163,22.16%,HSPD1;PPIA;EIF4A1;DDX21;PPM1G;CANX;EIF2S1;HNRNPA2B1;CCT2;NHP2;MYC;HNRNPC;SET;GSPT1;XPOT;IMPDH2;SSBP1;COPS5;GNL3;ACP1;EIF4G2;HDDC2;ETF1;HNRNPU;ILF2;NOP16;XPO1;C1QBP;UBE2E1;LSM7;STARD7;UBA2;PCNA;RSL1D1;SNRPG;FAM120A;LSM2;ERH;DDX18;POLE3;VBP1;KPNA2;RNPS1;SERBP1;EIF3J;EEF1B2;IFRD1;PRDX3;HSP90AB1;PRDX4;DHX15;PSMA2;PGK1;NOLC1;PABPC4;KPNB1;PCBP1;VDAC1;CDK4;PSMA4;SRSF3;PSMB2;RAD23B;FBL;PSMA1;PSMC6;HSPE1;CCNA2;HDAC2;ABCE1;CBX3;YWHAE;NCBP2;MCM2;PWP1;YWHAQ;SNRPB2;PRPS2;CLNS1A;APEX1
prerank,p53 Pathway,0.5487355568143104,2.0567284537118704,0.0,0.0,0.0,53/187,9.95%,ALOX15B;RALGDS;IFI30;STEAP3;GADD45A;FAS;SFN;CTSD;ST14;NUPR1;CDKN1A;HMOX1;BAX;LIF;SAT1;VAMP8;MAPKAPK3;UPP1;DDIT4;GM2A;STOM;RRP8;CDKN2A;COQ8A;ZMAT3;PLK3;S100A10;MDM2;SEC61A1;CD82;TGFB1;NINJ1;RGS16;NOL8;PHLDA3;TPRKB;BTG1;CD81;VWA5A;CCND2;TAP1;RNF19B;IER5;RHBDF2;AEN;S100A4;DDB2;XPC;TRIAP1;DRAM1;PCNA;SLC19A2;BMP2
