Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Neutrophil Degranulation R-HSA-6798695,0.5478139653679428,2.2381573040992295,0.0,0.0,0.0,149/431,13.50%,CD44;CHIT1;LYZ;CD68;SERPINA1;CYBA;FGR;SERPINA3;FCGR2A;PYGL;FCER1G;SLC11A1;CTSB;S100A11;CTSC;FTL;CTSS;RNASET2;ITGB2;RAB27A;CTSD;TMBIM1;ALOX5;CD63;NPC2;TYROBP;CTSH;B2M;TLR2;CD300A;HSPA6;CD53;C3AR1;CTSZ;PLAC8;PPIA;ARSB;FRMPD3;MAGT1;VAMP8;CR1;HSPA1B;NME2;AGPAT2;C5AR1;SLC2A5;SIGLEC9;OLR1;LAIR1;HVCN1;RNASE2;MGST1;C3;HEXB;GM2A;CSTB;LAMP2;TMEM30A;GCA;SERPINB1;STOM;FPR1;GLIPR1;CYBB;MAN2B1;PTPN6;OSTF1;ATP11A;RAB31;CCT2;VAT1;ITGAM;GRN;ASAH1;CREG1;RAP1A;APRT;PTPRC;LTF;IMPDH2;CD33;CD58;GMFG;CTSA;SDCBP;OSCAR;TMC6;SERPINB6;DNAJC3;VAPA;SIGLEC14;RAB10;IQGAP1;ANO6;FPR2;FTH1;SNAP23;CD93;PGM1;ARPC5;ERP44;CAP1;NCKAP1L;SLC15A4;RAB18;ILF2;ARHGAP9;ATP6AP2;RAP2C;PTAFR;IDH1;GPR84;DEGS1;HPSE;DDX3X;S100A9;PTX3;TNFRSF1B;CLEC5A;PYCARD;LGALS3;DOCK2;RAB5C;PRKCSH;ADGRE5;SLC2A3;GNS;PSMC2;HSP90AA1;LAMTOR2;HSPA8;RHOG;CDK13;RNASE3;RAB7A;NFAM1;CYFIP1;FCAR;PSMD2;DNASE1L1;PECAM1;HSP90AB1;LTA4H;MANBA;HOOK3;PRDX4;ADAM8;DYNLT1;BST2
prerank,Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,0.6364088787724648,2.2291482810759486,0.0,0.0,0.0,26/96,7.30%,LILRA2;COLEC12;SIGLEC10;ITGB2;FCGR2B;TYROBP;B2M;CD300A;LILRB4;SIGLEC8;SIGLEC9;LAIR1;C3;SIGLEC7;HCST;FCGR1A;LILRA5;CD33;OSCAR;SIGLEC1;TREM2;CD81;CD300LF;CD40;CD1D;ICAM1
prerank,Antigen processing-Cross Presentation R-HSA-1236975,0.6440990785274606,2.2149428641504163,0.0,0.0004793867965384672,0.001,46/90,21.37%,CYBA;LY96;CTSS;NCF2;B2M;TLR2;SEC61G;VAMP8;PSME2;CTSL;FCGR1A;CYBB;NCF4;SEC61A1;UBC;PSMB6;PSMB8;BTK;TLR6;SNAP23;UBB;S100A9;PSME1;CHUK;PSME3;TLR1;PSMC2;MYD88;SEC14L2;TLR4;PSMD2;PSMA2;PSMA4;PDIA3;PSMC1;PSMB2;S100A8;PSMA1;PSMC6;CALR;PSME4;VAMP3;SEC61B;PSMA3;PSMB10;ITGAV
prerank,Neuronal System R-HSA-112316,-0.5567346331278886,-2.1171647984003856,0.0,0.000645048342152815,0.001,132/361,17.92%,NEFL;SLC18A3;SLC6A11;NRGN;CPLX1;NRG1;KCNA2;RAB3A;GNG3;SLC6A1;SLC6A13;KCNAB1;KCNA1;CAMK2G;CACNB2;SNAP25;GLRA1;SYT2;SYN1;KCNC4;SLC22A2;RIMS1;PRKAR1B;GNB5;SLC5A7;PPFIBP1;KCNK2;GABRG2;CACNA2D3;SYT12;SLC6A12;KCNJ16;MPP3;ACHE;CAMKK1;KCNN1;KCNN2;GLRA3;CAMKK2;CACNG2;KCNB1;KCNH2;KCNK3;GABRB1;NRXN1;AP2A1;KCNC1;NSF;KCNK17;GRIN3B;GABRA2;SLC1A2;KCNJ14;KCNAB2;NPTN;KCNS3;KCNC3;PANX2;NBEA;KCNK4;RNASE1;ABAT;GABRB2;SYT1;GRIN2A;GABRA3;GRIA3;GNG2;SHANK1;LRRC7;GIT1;GABBR2;LIN7A;KCNH5;PRKAG2;GRIP2;KIF17;CHRNB2;KCNQ2;EPB41L1;ADCY5;SLITRK4;TSPOAP1;DBNL;HCN1;KCNH7;GNG4;SLC1A1;CACNB1;NLGN3;GLRA2;CACNG3;KCNJ6;GRIA1;CHRNA3;NTRK3;SHANK2;STXBP1;ADCY1;GJD3;APBA1;KCNJ3;SYN2;CHRND;TSPAN7;CACNA1E;SYN3;GJD2;GNAL;SH2D3C;EPB41L3;CACNA2D2;GAD1;ARHGEF9;CAMK2A;GABRQ;PTPRS;SHANK3;SLC32A1;SLITRK5;KCNA4;CAMK4;PRKCG;AP2M1;KCNC2;PPM1F;MAOA;PPFIA2;CHRFAM7A;KCNJ4;SLITRK3;GABRA5
prerank,Regulation Of Complement Cascade R-HSA-977606,0.7560948620414464,2.1107302475620617,0.0,0.0017977004870192517,0.004,10/31,6.28%,C1QB;C1QC;C1QA;C3AR1;CR1;CFI;C5AR1;C3;HNRNPC;CD81
prerank,Neurotransmitter Release Cycle R-HSA-112310,-0.7262308574915819,-2.107235865961373,0.0,0.0003225241710764075,0.001,27/47,17.53%,SLC18A3;SLC6A11;CPLX1;RAB3A;SLC6A1;SLC6A13;SNAP25;SYN1;SLC22A2;RIMS1;SLC5A7;SLC6A12;SLC1A2;ABAT;SYT1;LIN7A;TSPOAP1;SLC1A1;STXBP1;APBA1;SYN2;SYN3;SH2D3C;GAD1;SLC32A1;MAOA;PPFIA2
prerank,Transmission Across Chemical Synapses R-HSA-112315,-0.5778196952387176,-2.1015182112365,0.0,0.00021501611405093835,0.001,91/227,17.92%,NEFL;SLC18A3;SLC6A11;NRGN;CPLX1;NRG1;RAB3A;GNG3;SLC6A1;SLC6A13;CAMK2G;CACNB2;SNAP25;GLRA1;SYN1;SLC22A2;RIMS1;PRKAR1B;GNB5;SLC5A7;GABRG2;CACNA2D3;SLC6A12;KCNJ16;MPP3;ACHE;CAMKK1;GLRA3;CAMKK2;CACNG2;GABRB1;AP2A1;NSF;GRIN3B;GABRA2;SLC1A2;NPTN;NBEA;RNASE1;ABAT;GABRB2;SYT1;GRIN2A;GABRA3;GRIA3;GNG2;LRRC7;GIT1;GABBR2;LIN7A;PRKAG2;GRIP2;KIF17;CHRNB2;EPB41L1;ADCY5;TSPOAP1;GNG4;SLC1A1;CACNB1;GLRA2;CACNG3;KCNJ6;GRIA1;CHRNA3;STXBP1;ADCY1;APBA1;KCNJ3;SYN2;CHRND;TSPAN7;CACNA1E;SYN3;GNAL;SH2D3C;CACNA2D2;GAD1;ARHGEF9;CAMK2A;GABRQ;SLC32A1;CAMK4;PRKCG;AP2M1;PPM1F;MAOA;PPFIA2;CHRFAM7A;KCNJ4;GABRA5
prerank,ER-Phagosome Pathway R-HSA-1236974,0.6239402339866454,2.0997413457666556,0.0,0.0017257924675384818,0.004,38/76,20.92%,LY96;B2M;TLR2;SEC61G;VAMP8;PSME2;SEC61A1;UBC;PSMB6;PSMB8;BTK;TLR6;SNAP23;UBB;S100A9;PSME1;CHUK;PSME3;TLR1;PSMC2;MYD88;SEC14L2;TLR4;PSMD2;PSMA2;PSMA4;PDIA3;PSMC1;PSMB2;S100A8;PSMA1;PSMC6;CALR;PSME4;VAMP3;SEC61B;PSMA3;PSMB10
prerank,PERK Regulates Gene Expression R-HSA-381042,0.7300275490038597,2.0957525323623907,0.0,0.0016778537878846351,0.005,11/31,10.03%,CCL2;ATF4;CEBPB;CEBPG;EIF2S1;HSPA5;EXOSC8;EXOSC4;NFYA;ATF6;KHSRP
prerank,Complement Cascade R-HSA-166658,0.7033548701713533,2.063817249725263,0.0,0.003081772263461574,0.012,10/39,6.28%,C1QB;C1QC;C1QA;C3AR1;CR1;CFI;C5AR1;C3;HNRNPC;CD81
