Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Glial Cell Differentiation (GO:0010001),-0.6430921936909356,-2.0255995281889474,0.0,0.1413176901338107,0.111,14/34,10.86%,NCAN;SOX8;HAPLN2;MYRF;SOX2;SLC8A3;METRN;BCAN;VCAN;TPPP;GPC1;HAPLN4;SHH;SOX10
prerank,Sensory Perception Of Smell (GO:0007608),0.49946651444887924,1.9388307390869826,0.0,0.2584574255279577,0.207,123/178,38.29%,OR2B2;OR5V1;OR2L5;OR5T3;OR10R2;OR2L13;OR5L2;OR10H3;OR8I2;OR2M4;OR13C4;OR8K3;OR2B6;OR10A4;OR9I1;OR2H2;OR2T10;OR6A2;OR10AD1;OR5D3P;OR4D1;OR5M8;OR9Q1;OR10G8;OR1C1;OR5D13;OR2G6;OR51B6;OR52A5;OR2L3;OR6Q1;OR10AG1;OR5M3;OR13G1;OR10H1;OR8K1;OR4E2;OR13C9;OR1L6;OR5M10;OR8B2;OR4E1;OR5D14;OR10A3;OR13C2;OR6N1;OR2T11;OR5AC2;OR6P1;OR6K6;OR9G4;OR8A1;OR8B12;OR10G6;OR6N2;OR2V2;OR5AK2;BEST2;OR2G2;OR8D1;OR5T2;OR13J1;OR8G5;OR8B8;OR5L1;OR2B11;OR2F2;OR5M11;OR2M3;OR5I1;OR2D3;OR8U1;OR6K2;OR51V1;OR10G2;OR2K2;OR2Z1;OR13D1;OR8D2;OR8H1;OR8B4;OR6B1;OR1D2;OR10T2;OR52D1;OR2T33;OR13C3;OR2M2;OR2S2;OR10Z1;OR5B12;OR10D3;OR2C1;OR2T6;OR10H4;OR10K2;OR2Y1;OR2AE1;OR12D3;OR2T12;OR8H2;OR10A2;OR2G3;OR13H1;OR6Y1;GFY;OR2A25;OR2F1;OR5M1;OR2AG2;OR13F1;OR10P1;OR2T34;OR5B21;OR2AG1;OR2A12;SYT10;OR8D4;DRD2;OR2J2;OR51B5;OR10J1;OR10G7
prerank,Signal Release From Synapse (GO:0099643),-0.5910201407610363,-1.9140045667597456,0.0,0.5066500890723288,0.584,19/38,20.03%,CPLX1;LIN7B;DNAJC5;RAB3A;NRXN2;SNCA;UNC13A;CPLX3;CPLX2;SNAP25;NRXN1;PTPRN2;VAMP2;SLC32A1;SYN1;DVL1;SNPH;SYT1;PPFIA3
prerank,Response To Axon Injury (GO:0048678),-0.7182492626190815,-1.8886889618763842,0.0,0.5097904821864135,0.73,9/18,13.39%,TREM2;DPYSL3;MAPK8IP3;SOD1;TYROBP;MORN4;P2RY12;FOLR1;GAP43
prerank,Mitotic Sister Chromatid Cohesion (GO:0007064),0.7030987572668204,1.876756583457286,0.0018083182640144665,0.42095770986176695,0.53,8/19,12.00%,PDS5A;PDS5B;RAD21;SMC1A;NIPBL;SGO1;NAA50;ESCO1
prerank,Neurotransmitter Secretion (GO:0007269),-0.56526273620677,-1.8665238895986915,0.0,0.5333434305420487,0.834,19/43,20.03%,CPLX1;LIN7B;DNAJC5;RAB3A;NRXN2;SNCA;UNC13A;CPLX3;CPLX2;SNAP25;NRXN1;PTPRN2;VAMP2;SLC32A1;SYN1;DVL1;SNPH;SYT1;PPFIA3
prerank,Peptidyl-Methionine Modification (GO:0018206),0.8046159695355267,1.86309748209698,0.0,0.35296797665385266,0.608,7/12,15.41%,NAA35;LSM8;NAA20;PFDN1;NAA16;NAA25;NAA15
prerank,Detection Of Chemical Stimulus Involved In Sensory Perception Of Smell (GO:0050911),0.507203381829138,1.8552118009668488,0.0,0.30764148784857653,0.662,76/107,38.29%,OR2B2;OR5V1;OR2L5;OR10R2;OR2L13;OR10H3;OR2M4;OR13C4;OR2B6;OR10A4;OR2H2;OR2T10;OR6A2;OR10AD1;OR10G8;OR2G6;OR2L3;OR6Q1;OR10AG1;OR13G1;OR10H1;OR4E2;OR13C9;OR1L6;OR4E1;OR10A3;OR13C2;OR6N1;OR2T11;OR6P1;OR6K6;OR10G6;OR6N2;OR2V2;OR2G2;OR13J1;OR2B11;OR2F2;OR2M3;OR2D3;OR6K2;OR10G2;OR2K2;OR2Z1;OR13D1;OR6B1;OR10T2;OR2T33;OR13C3;OR2M2;OR2S2;OR10Z1;OR10D3;OR2C1;OR2T6;OR10H4;OR10K2;OR2Y1;OR2AE1;OR12D3;OR2T12;OR10A2;OR2G3;OR13H1;OR6Y1;OR2A25;OR2F1;OR2AG2;OR13F1;OR10P1;OR2T34;OR2AG1;OR2A12;OR2J2;OR10J1;OR10G7
prerank,Detection Of Chemical Stimulus Involved In Sensory Perception (GO:0050907),0.5056537028196099,1.8466333223366032,0.0,0.2812171092684793,0.702,76/109,38.29%,OR2B2;OR5V1;OR2L5;OR10R2;OR2L13;OR10H3;OR2M4;OR13C4;OR2B6;OR10A4;OR2H2;OR2T10;OR6A2;OR10AD1;OR10G8;OR2G6;OR2L3;OR6Q1;OR10AG1;OR13G1;OR10H1;OR4E2;OR13C9;OR1L6;OR4E1;OR10A3;OR13C2;OR6N1;OR2T11;OR6P1;OR6K6;OR10G6;OR6N2;OR2V2;OR2G2;OR13J1;OR2B11;OR2F2;OR2M3;OR2D3;OR6K2;OR10G2;OR2K2;OR2Z1;OR13D1;OR6B1;OR10T2;OR2T33;OR13C3;OR2M2;OR2S2;OR10Z1;OR10D3;OR2C1;OR2T6;OR10H4;OR10K2;OR2Y1;OR2AE1;OR12D3;OR2T12;OR10A2;OR2G3;OR13H1;OR6Y1;OR2A25;OR2F1;OR2AG2;OR13F1;OR10P1;OR2T34;OR2AG1;OR2A12;OR2J2;OR10J1;OR10G7
prerank,Axonal Fasciculation (GO:0007413),-0.7642680202991152,-1.8338688694431136,0.0,0.663879104317502,0.944,7/12,18.46%,SEMA5A;NRCAM;RTN4;EPHB2;CRTAC1;EPHB3;EPHA4
