Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,TNF-alpha Signaling via NF-kB,0.5205449187063725,2.0696881210248477,0.0,0.0,0.0,73/192,17.29%,TSC22D1;MAP3K8;LIF;IL6;DUSP1;PFKFB3;REL;TNFAIP3;PNRC1;EFNA1;PPP1R15A;NFE2L2;PDE4B;TUBB2A;ACKR3;CSF1;GPR183;CCNL1;BMP2;VEGFA;BIRC3;NAMPT;BCL6;TIPARP;CD69;FOSL2;TANK;ZBTB10;SLC2A3;SGK1;MYC;NFKBIA;BCL3;CCL2;NFAT5;TNFAIP8;DUSP5;SOCS3;IFNGR2;TLR2;EIF1;BTG1;ATF3;PLPP3;CD44;SAT1;GCH1;DNAJB4;CXCL2;JAG1;TNIP2;IL1B;KLF6;DENND5A;PTGS2;RHOB;AREG;CEBPD;SERPINE1;GEM;BCL2A1;B4GALT5;IL18;ETS2;EDN1;PER1;BIRC2;NFIL3;JUNB;RNF19B;GADD45A;SPSB1;CXCL3
prerank,mTORC1 Signaling,0.47653687486318697,1.8823010853582967,0.0,0.0,0.0,44/184,11.40%,CANX;RAB1A;HSPA5;ACTR2;UFM1;SC5D;CYP51A1;MTHFD2L;PPP1R15A;PRDX1;CTSC;AK4;IFRD1;STC1;NAMPT;SERPINH1;SSR1;P4HA1;SLC2A3;UBE2D3;PSMG1;PGK1;PSME3;IDH1;PSAT1;PNP;PPIA;ERO1A;COPS5;PSMC2;SRD5A1;MTHFD2;RDH11;CCNG1;SLC1A5;ELOVL5;GMPS;HSPD1;USO1;PSPH;PLOD2;CXCR4;PDK1;HK2
prerank,Unfolded Protein Response,0.5102067451340369,1.8790950418918193,0.0,0.0,0.0,43/107,19.76%,HSPA5;ATF4;PARN;BAG3;TUBB2A;VEGFA;CEBPG;SSR1;XPOT;ATF6;NOP14;CCL2;DNAJC3;PSAT1;HERPUD1;CKS1B;DDX10;ERO1A;MTHFD2;EIF4EBP1;SRPRB;ATF3;EXOC2;POP4;EXOSC9;WIPI1;TTC37;HSPA9;FKBP14;SHC1;CNOT2;HSP90B1;NFYA;EIF2S1;EIF4A2;CALR;PAIP1;EIF4E;DDIT4;CEBPB;EXOSC5;DNAJB9;NABP1
prerank,Hypoxia,0.4511410070982873,1.7975595522425363,0.0,0.0008948965329151467,0.003,63/189,18.10%,HSPA5;IL6;DUSP1;PFKFB3;ANGPTL4;TNFAIP3;PNRC1;EFNA1;PPP1R15A;WSB1;ACKR3;AK4;RBPJ;VEGFA;STC1;PLIN2;DCN;TIPARP;BGN;FOSL2;P4HA1;SLC2A3;UGP2;SRPX;GYS1;PGK1;MIF;CP;SCARB1;PPP1R3C;ERO1A;RRAGD;SIAH2;DTNA;PCK1;CCN2;NOCT;BTG1;ATF3;ERRFI1;TGFBI;CITED2;CXCR4;PDK1;HK2;FBP1;KLF6;MT2A;SERPINE1;FAM162A;MYH9;NAGK;LARGE1;TGM2;CCNG2;NFIL3;ADM;P4HA2;SLC37A4;JMJD6;HK1;GLRX;SULT2B1
prerank,Inflammatory Response,0.4399800933803262,1.7321483721500934,0.0,0.003102307980772509,0.013,55/185,17.33%,LIF;IFNAR1;IL6;SELENOS;IL1R1;OSMR;PDE4B;CD40;CSF1;GPR183;NAMPT;CD69;STAB1;MYC;IFITM1;NFKBIA;HIF1A;CCL2;APLNR;IL18R1;IL10RA;RGS1;CLEC5A;IFNGR2;TIMP1;TLR2;ITGB3;RGS16;HRH1;KCNJ2;CD55;GCH1;LTA;SLC7A2;IRAK2;IL1B;KLF6;FZD5;LY6E;SERPINE1;IL18RAP;IL18;EDN1;MEP1A;MEFV;DCBLD2;LPAR1;SRI;AQP9;EMP3;SGMS2;ADM;MARCO;PDPN;RAF1
prerank,Apoptosis,0.4143041174273535,1.5955240614980195,0.0,0.019488857827929862,0.094,44/153,17.84%,PPP3R1;IL6;SC5D;CTNNB1;TXNIP;DNAJA1;IFNGR1;BMP2;BIRC3;DCN;CASP7;CD69;BGN;EMP1;HGF;LEF1;SATB1;DNAJC3;TGFBR3;ANXA1;DPYD;TIMP1;AVPR1A;IFITM3;ATF3;CD44;CASP3;SAT1;GCH1;BCAP31;IL1B;XIAP;RHOB;CASP9;DFFA;IL18;DNM1L;WEE1;TGFB2;HSPB1;BCL2L11;GADD45A;CDC25B;PEA15
prerank,TGF-beta Signaling,0.48024861346382763,1.5561969825704132,0.012522361359570662,0.025057102921624108,0.134,19/53,20.50%,BMPR1A;CTNNB1;PPP1R15A;BMP2;RAB31;SKIL;UBE2D3;THBS1;IFNGR2;WWTR1;ENG;XIAP;SERPINE1;FNTA;LEFTY2;JUNB;ACVR1;SMURF2;KLF10
prerank,IL-6/JAK/STAT3 Signaling,0.42640104715475174,1.4987946356430022,0.01090909090909091,0.03743650496028364,0.224,20/78,13.18%,MAP3K8;IFNAR1;IL6;IL1R1;OSMR;CSF1;IFNGR1;IL1R2;IL18R1;STAT3;SOCS3;IFNGR2;TLR2;ITGB3;GRB2;CD44;STAM2;IL1B;IL17RB;TNFRSF1A
prerank,Myc Targets V1,0.3833855790426158,1.4868930254722086,0.0,0.03712163395796164,0.248,55/162,19.43%,CANX;VBP1;SNRPG;SET;ACP1;PSMB2;SNRPD2;IFRD1;ABCE1;CTPS1;EIF4G2;XPOT;RSL1D1;CUL1;PSMA2;SRSF3;MYC;GSPT1;PRDX3;TOMM70;PGK1;GLO1;PPIA;COPS5;VDAC1;DDX21;HNRNPU;HNRNPC;XPO1;RAD23B;HSPD1;UBA2;HSP90AB1;CCT2;TCP1;RFC4;SYNCRIP;PSMA4;HNRNPA2B1;CCNA2;EIF2S1;HDDC2;SERBP1;DDX18;SNRPB2;FAM120A;SRPK1;RNPS1;CCT4;PSMD1;CDK2;EIF4E;C1QBP;TRIM28;PPM1G
prerank,Interferon Gamma Response,0.36811030236389486,1.4532742735024216,0.0,0.04760849555108581,0.327,42/187,13.72%,PELI1;IL6;LYSMD2;IFI27;B2M;TNFAIP3;SPPL2A;PDE4B;TXNIP;PSMB2;CD40;IFNAR2;RIPK1;NAMPT;CASP7;CD69;PLSCR1;PSMA2;NFKBIA;HIF1A;CCL2;PNP;IL10RA;STAT3;TOR1B;SOCS3;ST8SIA4;IFITM3;MTHFD2;BTG1;CD86;EPSTI1;CASP3;XAF1;GCH1;CFH;PML;ARID5B;MVP;LY6E;PTGS2;MT2A
