Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,p53 Pathway,0.5520853919675008,2.28497037015035,0.0,0.0,0.0,79/190,19.79%,SFN;MAPKAPK3;NINJ1;CCND2;UPP1;TGFB1;IFI30;BAIAP2;STOM;RAP2B;ITGB4;CTSD;S100A4;CDKN2B;HMOX1;NUPR1;TRIB3;SPHK1;BAX;CEBPA;FOXO3;CDKN1A;CDKN2AIP;AEN;ALOX15B;VAMP8;CDKN2A;FAS;STEAP3;GADD45A;DRAM1;VWA5A;DEF6;ISCU;TP53;S100A10;RHBDF2;PLXNB2;PLK3;PRKAB1;ST14;MKNK2;SAT1;ZMAT3;SLC3A2;TAX1BP3;RRP8;CD82;FUCA1;FDXR;PMM1;GLS2;BAK1;DDIT4;TAP1;SLC19A2;APAF1;LIF;OSGIN1;RNF19B;DGKA;FGF13;EPHA2;CCND3;GM2A;AK1;RXRA;PHLDA3;CD81;BTG1;RAD9A;TM7SF3;INHBB;DCXR;CSRNP2;ABHD4;FBXW7;DDB2;IRAK1
prerank,Allograft Rejection,0.542835733503317,2.2367134800381128,0.0,0.0,0.0,54/175,14.77%,SPI1;CAPG;HCLS1;C2;WAS;CD74;ITGB2;LYN;CCND2;TGFB1;NCF4;CTSS;PTPN6;NLRP3;IRF8;CCR1;CD4;AKT1;TGFB2;LCP2;FYB1;CCL2;PSMB10;CD1D;ABI1;LY86;CDKN2A;FAS;CSK;ICAM1;ELF4;GBP2;GPR65;FCGR2B;TLR2;TAPBP;CCR5;PTPRC;IL12RB1;ST8SIA4;IL4R;TIMP1;IFNGR2;BCL3;IRF7;ACHE;INHBA;MAP4K1;FGR;CCL19;TAP1;TAP2;LIF;NCK1
prerank,TNF-alpha Signaling via NF-kB,0.5342617655288271,2.220906507866566,0.0,0.0,0.0,70/197,16.12%,SOD2;CD44;NINJ1;CEBPB;TNC;GFPT2;F3;IRS2;RELB;SPHK1;B4GALT5;CLCF1;PHLDA1;TNIP1;KYNU;CCL2;CDKN1A;CCL20;NFIL3;TNFAIP2;DUSP4;GADD45A;PLEK;RELA;DRAM1;TNIP2;ICAM1;SPSB1;SNN;ABCA1;SDC4;TRIP10;TLR2;STAT5A;PDLIM5;CCRL2;MAFF;AREG;BCL2A1;PLAU;LITAF;NAMPT;CEBPD;PANX1;NFKB2;MCL1;SAT1;KLF9;IFNGR2;SERPINB8;BCL3;G0S2;PFKFB3;NFKBIA;TGIF1;MAP2K3;INHBA;OLR1;PTX3;YRDC;NFKBIE;TAP1;LIF;ZFP36;BCL6;RNF19B;FUT4;TNFAIP6;PLAUR;SQSTM1
prerank,Complement,0.5215299799561506,2.1832199598547137,0.0,0.0,0.0,70/195,15.30%,APOC1;GNB2;CTSL;CTSB;LTA4H;GNAI3;PLA2G7;C2;WAS;SERPINA1;LYN;GPD2;C1QC;CEBPB;GNB4;MSRB1;CTSS;LGALS3;GNGT2;CTSD;PRKCD;F3;PPP4C;MMP14;C1QA;CLU;LAP3;PFN1;PIM1;GNAI2;LCP2;FCER1G;KYNU;C3;GNG2;LTF;COL4A2;CR1;CTSH;PLEK;PSMB9;CPM;CTSC;PIK3R5;PLSCR1;RHOG;MAFF;SIRT6;FN1;ITGAM;DOCK4;GZMK;C1R;TIMP1;CTSO;C1S;RNF4;IRF7;APOBEC3G;FDX1;CALM3;XPNPEP1;OLR1;CSRP1;CASP4;DGKG;ANG;PREP;PPP2CB;HPCAL4
prerank,Myc Targets V1,0.5282325456226329,2.1829128635095945,0.0,0.0,0.0,70/164,23.94%,EEF1B2;FBL;PRPS2;STARD7;EIF4A1;SNRPA1;CDK4;SRM;KPNA2;USP1;PHB2;PSMA7;ILF2;PWP1;HNRNPA3;PABPC4;EXOSC7;NOP16;PA2G4;PPM1G;SF3A1;HDGF;PSMD7;SNRPD1;KPNB1;POLE3;CYC1;EIF3B;MCM4;DDX21;GNL3;NDUFAB1;TUFM;NCBP2;DHX15;TXNL4A;LSM2;PHB;EIF2S1;CNBP;RRP9;PSMC4;PSMD3;HPRT1;HNRNPR;ETF1;RRM1;IMPDH2;SERBP1;HSPE1;MCM6;EIF4H;PSMD14;POLD2;NHP2;HSPD1;HNRNPD;PCBP1;GOT2;RACK1;XRCC6;AIMP2;EIF3D;APEX1;RUVBL2;CDK2;CLNS1A;PRPF31;SSBP1;LSM7
prerank,mTORC1 Signaling,0.5163922926247692,2.1591381032405805,0.0,0.0,0.0,75/187,20.08%,GLRX;LTA4H;ITGB2;SERP1;IFI30;GSR;CORO1A;SLA;M6PR;SLC1A5;XBP1;MTHFD2;SLC1A4;NUPR1;TRIB3;PGM1;ACTR3;CDKN1A;SLC9A3R1;NFIL3;SHMT2;HK2;GGA2;DAPP1;SORD;ATP5MC1;CTSC;ENO1;UNG;FADS2;PSMD13;YKT6;NAMPT;MCM4;TOMM40;GLA;G6PD;TXNRD1;PLOD2;EDEM1;ACLY;ERO1A;NMT1;RRP9;SLC6A6;FDXR;FGL2;MAP2K3;NFKBIB;TUBA4A;PSMC4;TFRC;HPRT1;SDF2L1;DDIT4;SERPINH1;SYTL2;ABCF2;RPA1;IMMT;ARPC5L;ETF1;SQSTM1;PNP;HMBS;HSPE1;SEC11A;PSMD14;IGFBP5;CCT6A;SLC2A1;HSPA4;GPI;TUBG1;HSPD1
prerank,Interferon Gamma Response,0.508979947264352,2.136379223404494,0.0,0.0,0.0,67/190,18.11%,SOD2;CD74;PSMB8;UPP1;APOL6;IFI30;IRF5;MYD88;PTPN6;MTHFD2;IRF8;LAP3;PSME2;PSME1;PTPN2;PIM1;LCP2;SECTM1;CCL2;CDKN1A;PSMB10;TRIM21;VAMP8;PFKP;FAS;TNFAIP2;UBE2L6;PSMB9;FPR1;ICAM1;CSF2RB;PTPN1;PLSCR1;TAPBP;CMTR1;ADAR;CIITA;NAMPT;ST8SIA4;IL4R;C1R;TRIM26;C1S;FCGR1A;NMI;IFI35;IRF7;NFKBIA;SAMHD1;IL10RA;FGL2;MT2A;BANK1;CASP4;TAP1;STAT3;TNFAIP6;PNP;SERPING1;NOD1;TRIM25;IL18BP;DHX58;BTG1;MVP;CD38;SP110
prerank,Myc Targets V2,0.5998238938349557,2.0838850894041183,0.0,0.0,0.0,27/57,14.79%,PUS1;CDK4;SRM;HK2;PPAN;PPRC1;NOP16;PA2G4;SORD;UNG;NIP7;MCM4;NOC4L;IMP4;GNL3;MRTO4;NDUFAF4;MPHOSPH10;BYSL;UTP20;DCTPP1;PHB;NOP2;RRP9;GRWD1;WDR74;TBRG4
prerank,DNA Repair,0.5044034054118558,2.024438078088793,0.0,0.0,0.0,53/144,20.26%,HCLS1;TAF10;ADRM1;SSRP1;POLR1D;POLD4;MPC2;ERCC1;APRT;POLR3GL;SAC3D1;GPX4;USP11;GTF2F1;AGO4;POLR2A;NUDT21;NUDT9;TP53;VPS37D;CSTF3;NME4;POLR2H;COX17;RFC2;DDB1;GTF2B;NCBP2;ZNF707;TAF12;BRF2;HPRT1;NELFB;NT5C;NPR2;IMPDH2;PNP;EIF1B;AK1;NELFCD;REV3L;ELL;TARBP2;MPG;TMED2;SNAPC5;RNMT;PDE6G;POLR2K;DDB2;POLL;ITPA;SEC61A1
prerank,Oxidative Phosphorylation,0.48423871624215714,2.02394931112374,0.0,0.0,0.0,99/186,27.64%,MAOB;SLC25A6;SDHA;BAX;PHB2;ATP6V1F;UQCRC1;ACO2;ATP5F1E;ATP5MC1;GPX4;NDUFV1;ATP5MC2;IDH3A;ISCU;HTRA2;CYC1;COX7A2;RHOT2;PMPCA;COX8A;COX17;PDHB;UQCR11;NDUFAB1;ECH1;IDH3B;NDUFS6;ABCB7;ATP5PD;ATP5MF;COX7C;CS;HCCS;TIMM10;ATP5MG;NDUFS4;FDX1;NDUFA1;NNT;NDUFB5;TIMM13;COX7A2L;TIMM50;DLAT;IMMT;NDUFB6;DLD;NDUFS2;ACAA1;COX11;NDUFA7;ECI1;TIMM17A;COX4I1;PDP1;POR;GPI;UQCRB;IDH3G;ATP6V0C;NDUFA2;MFN2;NDUFC1;AIFM1;NDUFS1;BCKDHA;GOT2;SUCLA2;OPA1;ATP5F1B;SLC25A4;NDUFS3;AFG3L2;VDAC2;ALDH6A1;OGDH;ATP5F1C;UQCR10;TIMM8B;NDUFB7;HSPA9;NDUFB8;POLR2F;GRPEL1;COX15;NDUFC2;HADHA;CYB5A;NDUFS7;OXA1L;HADHB;NDUFS8;ATP5F1A;ATP5F1D;TCIRG1;MDH2;NDUFV2;ETFB
