Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Expression And Translocation Of Olfactory Receptors R-HSA-9752946,-0.5778851677950095,-2.481905600869931,0.0,0.0,0.0,241/342,32.25%,OR2L13;LDB2;OR4K2;OR2T12;OR11G2;OR2L3;OR13J1;OR4K1;OR10A3;OR2W1;OR2M3;OR2L2;OR2G6;OR51E1;OR51L1;OR5D13;OR52R1;OR4K15;OR4L1;OR4K17;OR4Q3;OR10Q1;OR6X1;OR8I2;OR14I1;OR5AU1;OR2Y1;OR1G1;OR52M1;OR6C70;OR1C1;OR2A12;OR14A16;OR13C4;OR6K6;OR10G6;OR2L5;OR52L1;OR51A4;OR5D14;OR2B6;OR14K1;OR5AP2;OR13C9;OR3A2;OR51B6;OR2AG1;OR52B2;OR3A3;OR10H3;OR2Z1;OR11H6;OR9G4;OR8U1;OR51S1;OR14C36;OR9I1;OR8B4;OR13C2;OR6N2;OR13G1;OR14J1;OR6Y1;OR6B1;OR2H2;OR2M4;OR10D3;OR10R2;OR5V1;OR2T10;OR13D1;OR2T4;OR10A2;OR8K1;OR12D2;OR9K2;OR6Q1;OR51F1;OR8K3;OR52A1;OR11A1;OR4F15;OR5M9;OR11L1;OR2T1;OR5L2;RTP2;OR4X1;OR4D10;OR1L6;OR5B17;OR4C12;OR4K13;OR10A6;OR10X1;OR6C76;OR6P1;OR6C75;OR4C6;OR4E2;OR2B2;OR10H1;OR2I1P;OR3A1;OR10K1;OR52A5;OR10G8;OR2AP1;OR1L3;OR52N1;OR6F1;OR11H4;OR10G2;OR5W2;OR4C16;OR12D3;OR7G1;OR2T11;OR5AS1;OR8B2;OR10A7;OR8D1;OR8J3;OR52I1;OR8B12;OR8G5;OR2G2;OR6C1;OR10A4;OR56A3;OR51Q1;OR8S1;OR1E1;OR4D11;OR51A7;OR10W1;OR5AR1;OR4P4;OR56A1;OR8J1;OR10AG1;OR5AC2;OR5A2;OR52E8;OR4C15;OR10H5;OR10AD1;OR10T2;OR4D2;OR6A2;OR4E1;OR2F1;OR56B4;OR2J2;OR4F21;OR13F1;OR4A15;OR6N1;OR5AK2;OR5J2;OR4D1;OR8A1;OR51F2;OR5T2;OR5B21;OR6M1;OR5M8;OR5D16;OR2S2;REEP1;OR10V1;OR10A5;OR51T1;OR4C11;OR10P1;OR1I1;OR5M3;OR5K4;OR6B2;OR52D1;OR2J3;OR4C5;OR8H2;OR4A16;OR6C74;OR10J5;OR10Z1;OR8G1;OR10S1;OR10C1;OR5L1;OR1D2;OR5A1;OR10J1;OR7C1;OR4C3;OR1S2;OR8K5;OR10K2;OR5M1;OR5C1;OR5H2;OR5P2;OR4F6;OR6V1;OR52I2;OR9Q1;OR2G3;OR2M7;OR9A4;OR4C13;OR2K2;OR51V1;OR10G4;OR52W1;OR2AK2;OR2V2;OR51B5;OR2C3;OR1L1;OR1S1;OR1K1;OR2D3;OR2T33;OR51E2;OR6C2;OR4N5;OR51G2;OR8H1;OR1N1;OR5I1;OR6K3;OR7A17;OR52E2;OR4D9;OR1A2;OR51D1;OR6C68;OR7G2;OR52K1;OR2V1
prerank,Olfactory Signaling Pathway R-HSA-381753,-0.5734090705145544,-2.4690788446211367,0.0,0.0,0.0,244/349,32.25%,OR2L13;LDB2;ANO2;OR4K2;OR2T12;OR11G2;OR2L3;OR13J1;OR4K1;OR10A3;OR2W1;OR2M3;OR2L2;OR2G6;OR51E1;OR51L1;OR5D13;OR52R1;OR4K15;OR4L1;OR4K17;OR4Q3;OR10Q1;OR6X1;OR8I2;OR14I1;OR5AU1;OR2Y1;OR1G1;OR52M1;OR6C70;OR1C1;OR2A12;OR14A16;OR13C4;OR6K6;OR10G6;OR2L5;OR52L1;OR51A4;OR5D14;OR2B6;OR14K1;OR5AP2;OR13C9;OR3A2;OR51B6;OR2AG1;OR52B2;OR3A3;OR10H3;OR2Z1;OR11H6;OR9G4;OR8U1;OR51S1;OR14C36;OR9I1;OR8B4;OR13C2;OR6N2;OR13G1;OR14J1;OR6Y1;OR6B1;OR2H2;OR2M4;OR10D3;OR10R2;OR5V1;OR2T10;OR13D1;OR2T4;OR10A2;OR8K1;OR12D2;OR9K2;OR6Q1;OR51F1;OR8K3;OR52A1;OR11A1;OR4F15;OR5M9;OR11L1;OR2T1;OR5L2;RTP2;OR4X1;OR4D10;OR1L6;OR5B17;OR4C12;OR4K13;OR10A6;OR10X1;OR6C76;OR6P1;OR6C75;OR4C6;OR4E2;OR2B2;OR10H1;OR2I1P;OR3A1;OR10K1;OR52A5;OR10G8;OR2AP1;OR1L3;OR52N1;OR6F1;OR11H4;OR10G2;OR5W2;CNGA4;OR4C16;OR12D3;OR7G1;OR2T11;OR5AS1;OR8B2;OR10A7;OR8D1;OR8J3;OR52I1;OR8B12;OR8G5;OR2G2;OR6C1;OR10A4;OR56A3;OR51Q1;OR8S1;OR1E1;OR4D11;OR51A7;OR10W1;OR5AR1;OR4P4;OR56A1;OR8J1;OR10AG1;OR5AC2;OR5A2;OR52E8;OR4C15;OR10H5;OR10AD1;OR10T2;OR4D2;OR6A2;OR4E1;OR2F1;OR56B4;OR2J2;OR4F21;OR13F1;OR4A15;OR6N1;OR5AK2;OR5J2;OR4D1;OR8A1;OR51F2;OR5T2;OR5B21;OR6M1;OR5M8;OR5D16;OR2S2;REEP1;OR10V1;OR10A5;OR51T1;OR4C11;OR10P1;OR1I1;OR5M3;OR5K4;OR6B2;OR52D1;OR2J3;OR4C5;OR8H2;OR4A16;OR6C74;OR10J5;OR10Z1;OR8G1;OR10S1;OR10C1;OR5L1;OR1D2;OR5A1;OR10J1;OR7C1;OR4C3;OR1S2;OR8K5;OR10K2;OR5M1;OR5C1;OR5H2;OR5P2;OR4F6;OR6V1;OR52I2;OR9Q1;OR2G3;OR2M7;OR9A4;OR4C13;OR2K2;OR51V1;OR10G4;OR52W1;OR2AK2;OR2V2;OR51B5;OR2C3;OR1L1;OR1S1;OR1K1;OR2D3;OR2T33;OR51E2;OR6C2;OR4N5;OR51G2;OR8H1;CNGA2;OR1N1;OR5I1;OR6K3;OR7A17;OR52E2;OR4D9;OR1A2;OR51D1;OR6C68;OR7G2;OR52K1;OR2V1
prerank,Antigen processing-Cross Presentation R-HSA-1236975,0.6449969494970347,2.4417790857027573,0.0,0.0,0.0,36/93,13.84%,NCF2;CYBA;CTSL;PSMB8;NCF4;CTSS;MYD88;CHUK;PSME2;PSME1;PSMA5;PSMB1;PSMD9;PSMB10;PSMA7;CYBB;VAMP8;PSMD4;BTK;PSMB9;SNAP23;PSMD7;PSMD13;TLR2;PSMB4;TAPBP;SEC14L2;PSMC5;LY96;SEC61G;PSMD5;FCGR1A;PSMC3;PSMC4;PSMD3;ITGB5
prerank,Neutrophil Degranulation R-HSA-6798695,0.5300959803700155,2.4047793062996288,0.0,0.0,0.0,153/441,14.48%,TYROBP;OSCAR;CD44;CYBA;PTPRJ;PYCARD;LYZ;CTSB;LTA4H;PYGL;CTSZ;SERPINA1;CD68;ITGB2;LAIR1;CHIT1;CHI3L1;CD63;FRMPD3;HEXB;GRN;CTSS;STOM;LGALS3;C3AR1;CYFIP1;RAP2B;RNASET2;CD53;COTL1;GMFG;CTSD;PRKCD;RAB7A;PTPN6;SIGLEC14;APEH;LPCAT1;PLEKHO2;NCKAP1L;AGPAT2;MAN2B1;IQGAP2;PGM1;PSMA5;PSMB1;FCER1G;ARHGAP45;C3;TRPM2;CD300A;PTAFR;FCGR2A;LTF;DYNLT1;ILF2;ITM2C;CYBB;VAMP8;SLC11A1;SURF4;APRT;DOK3;PDXK;ARPC5;S100A11;CR1;PKM;VAT1;CTSH;RAB27A;SIGLEC5;ITGAX;FTH1;HPSE;HEBP2;NFAM1;GNPDA1;ALOX5;LAMTOR2;PA2G4;DIAPH1;C5AR1;FPR1;SIGLEC9;SLC15A4;DPP7;RHOA;SNAP23;SERPINB1;GNS;CTSC;PSMD7;KPNB1;CCT8;ATP8B4;GLIPR1;IGF2R;PSMD13;TLR2;RHOG;KCNAB2;GAA;MANBA;NME2;PLAU;PTPRC;GSTP1;CAPN1;ITGAM;ARHGAP9;TNFRSF1B;DNAJC5;SLC2A5;SERPINA3;OSTF1;TUBB4B;BIN2;EEF2;PGM2;GUSB;ANXA2;GYG1;CKAP4;CD33;LILRA6;VCP;TBC1D10C;ACLY;DNASE1L1;RAB5C;STBD1;SNAP25;PSMC3;FUCA1;GDI2;FGL2;SLC27A2;TMC6;P2RX1;SIRPA;OLR1;PSMD3;FGR;RAB24;STK10;ALDH3B1;PTX3;ANO6;HVCN1;APAF1;SERPINB6;MNDA
prerank,CLEC7A (Dectin-1) Signaling R-HSA-5607764,0.6263057655874633,2.364311076269826,0.0,0.0,0.0,34/95,13.65%,PYCARD;PPP3CA;SYK;PSMB8;PRKCD;AHCYL1;CHUK;RELB;MAP3K14;PSME2;PSME1;PSMA5;PSMB1;PSMD9;PSMB10;PSMA7;ITPR2;PSMD4;RELA;PSMB9;PSMD7;CARD11;PSMD13;PSMB4;NFKB2;PSMC5;PSMD5;NFKBIA;PPP3CB;PSMC3;CLEC7A;UBE2M;PSMC4;PSMD3
prerank,NIK To Noncanonical NF-kB Signaling R-HSA-5676590,0.6824366202659629,2.3463999669496753,0.0,0.0,0.0,23/54,13.65%,PSMB8;CHUK;RELB;MAP3K14;PSME2;PSME1;PSMA5;PSMB1;PSMD9;PSMB10;PSMA7;PSMD4;PSMB9;PSMD7;PSMD13;PSMB4;NFKB2;PSMC5;PSMD5;PSMC3;UBE2M;PSMC4;PSMD3
prerank,Cellular Response To Chemical Stress R-HSA-9711123,0.5669342813321012,2.336189953213836,0.0,0.0,0.0,56/173,14.66%,NCF2;CYBA;PSMB8;P4HB;NCF4;GSR;BLVRA;PRKCD;NLRP3;BLVRB;HMOX1;SRXN1;PSME2;PSME1;PSMA5;AKT1;PSMB1;PSMD9;PSMB10;TRIM21;PSMA7;CYBB;TXN2;CDKN2A;PSMD4;PSMB9;TKT;PSMD7;PSMD13;SCO2;PSMB4;SESN2;GSTP1;SCO1;MAFG;HM13;SOD3;COX8A;TXNRD1;PSMC5;CCS;SMARCD3;PRDX2;PSMD5;NUDT2;COX7C;KEAP1;VCP;ERO1A;PSMC3;PSMC4;PSMD3;GPX7;SOD1;STAT3;COX7A2L
prerank,Signaling By B Cell Receptor (BCR) R-HSA-983705,0.5919937418460443,2.2889574296294057,0.0,0.0,0.0,39/103,14.77%,PPP3CA;SYK;LYN;PSMB8;PIK3AP1;ORAI2;PTPN6;AHCYL1;CHUK;VAV1;PSME2;PSME1;PSMA5;PSMB1;PSMD9;PSMB10;STIM1;PSMA7;ITPR2;PSMD4;RELA;BTK;PSMB9;DAPP1;PSMD7;CARD11;PSMD13;PSMB4;PSMC5;PSMD5;NFKBIA;ORAI1;PPP3CB;PSMC3;NFKBIB;PSMC4;PSMD3;NFKBIE;NCK1
prerank,ER-Phagosome Pathway R-HSA-1236974,0.6268209201670994,2.288452018897155,0.0,0.0,0.0,36/79,20.26%,PSMB8;MYD88;CHUK;PSME2;PSME1;PSMA5;PSMB1;PSMD9;PSMB10;PSMA7;VAMP8;PSMD4;BTK;PSMB9;SNAP23;PSMD7;PSMD13;TLR2;PSMB4;TAPBP;SEC14L2;PSMC5;LY96;SEC61G;PSMD5;PSMC3;PSMC4;PSMD3;SEC22B;TLR1;UBA52;IKBKG;S100A9;PSMD14;NDUFA2;SEC61A1
prerank,Dectin-1 Mediated Noncanonical NF-kB Signaling R-HSA-5607761,0.6560459609033179,2.278053140815991,0.0,0.0,0.0,24/57,13.65%,PSMB8;CHUK;RELB;MAP3K14;PSME2;PSME1;PSMA5;PSMB1;PSMD9;PSMB10;PSMA7;PSMD4;RELA;PSMB9;PSMD7;PSMD13;PSMB4;NFKB2;PSMC5;PSMD5;PSMC3;UBE2M;PSMC4;PSMD3
