Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Antigen processing-Cross Presentation R-HSA-1236975,0.6792462181416619,2.3680215104851405,0.0,0.0,0.0,42/90,17.75%,CYBA;NCF2;PSMD9;PSMB10;PSMB8;CTSL;CTSS;CYBB;PSME2;PSMB9;TAPBP;SNAP23;LY96;MYD88;PSMD7;NCF4;CHUK;S100A1;ITGB5;VAMP8;PSMD4;TLR2;BTK;PSME1;STX4;PSMC3;PSMA7;PSMD10;SEC14L2;PSMD5;FCGR1A;PSMC5;PSMD14;PSMB1;PSMB4;VAMP3;UBA52;PSMB5;TLR1;PSMC4;NDUFA2;PSMA5
prerank,Neutrophil Degranulation R-HSA-6798695,0.5451103628177788,2.288854320491885,0.0,0.0,0.0,114/421,10.58%,ARPC5;CD44;CYBA;RAP2B;TYROBP;CTSZ;CHIT1;RAB7A;RHOG;CD63;CD68;SERPINA1;LYZ;PYGL;PYCARD;FTH1;CTSB;RAB5C;ITGB2;LTA4H;C3AR1;CTSD;LAIR1;GM2A;GRN;DYNLT1;LGALS3;STOM;CTSS;ITGAX;ILF2;CYFIP1;C3;CHI3L1;COTL1;KPNB1;PA2G4;VAT1;OSCAR;LAMP1;PTPRJ;SIRPA;SIGLEC14;PLEKHO2;ALAD;NCKAP1L;APRT;LTF;AMPD3;PTPN6;RNASET2;PGM1;SLC15A4;SLC11A1;CYBB;ITM2C;CTSH;ALOX5;RHOA;PADI2;FCER1G;PLAC8;FUCA1;GMFG;ADAM8;CD53;BIN2;GUSB;SIGLEC9;HVCN1;FTL;SNAP23;NRAS;DBNL;SLC2A5;RAB27A;TMC6;NPC2;CD300A;PSMD7;HEXB;GSTP1;FCGR2A;OLR1;TMBIM1;ACAA1;FPR1;SURF4;VAMP8;AGA;TBC1D10C;TLR2;SERPINB6;SERPINA3;HPSE;ATP11A;C5AR1;PTAFR;PSMC3;DPP7;LAMTOR2;IMPDH2;GNS;MAN2B1;RAP1A;SERPINB1;APEH;STBD1;CTSC;ATP8B4;ASAH1;OSTF1;S100A11;PRKCD
prerank,Defective CFTR Causes Cystic Fibrosis R-HSA-5678895,0.6892596548933917,2.216804085997314,0.0,0.00043557628722692336,0.001,24/55,17.75%,PSMD9;PSMB10;PSMB8;SEL1L;PSME2;PSMB9;DERL1;RNF185;PSMD7;DERL2;PSMD4;PSME1;PSMC3;PSMA7;PSMD10;PSMD5;PSMC5;PSMD14;PSMB1;PSMB4;UBA52;PSMB5;PSMC4;PSMA5
prerank,Regulation Of Ornithine Decarboxylase (ODC) R-HSA-350562,0.700757948423938,2.199278732227636,0.0,0.00032668221542019255,0.001,21/46,17.75%,PSMD9;PSMB10;PSMB8;PSME2;PSMB9;OAZ2;PSMD7;PSMD4;PSME1;PSMC3;PSMA7;PSMD10;PSMD5;PSMC5;PSMD14;PSMB1;PSMB4;OAZ1;PSMB5;PSMC4;PSMA5
prerank,Vpu Mediated Degradation Of CD4 R-HSA-180534,0.7074043592474076,2.1951256836427264,0.0,0.000261345772336154,0.001,21/45,17.75%,PSMD9;PSMB10;PSMB8;PSME2;PSMB9;CD4;PSMD7;PSMD4;PSME1;PSMC3;PSMA7;PSMD10;PSMD5;PSMC5;PSMD14;PSMB1;PSMB4;UBA52;PSMB5;PSMC4;PSMA5
prerank,Ubiquitin Mediated Degradation Of Phosphorylated Cdc25A R-HSA-69601,0.6983931613588721,2.19314293560036,0.0,0.00021778814361346168,0.001,20/46,17.75%,PSMD9;PSMB10;PSMB8;PSME2;PSMB9;PSMD7;PSMD4;PSME1;PSMC3;PSMA7;PSMD10;PSMD5;PSMC5;PSMD14;PSMB1;PSMB4;UBA52;PSMB5;PSMC4;PSMA5
prerank,ER-Phagosome Pathway R-HSA-1236974,0.6468055737646722,2.186666969908423,0.0,0.00018667555166868144,0.001,34/76,17.75%,PSMD9;PSMB10;PSMB8;PSME2;PSMB9;TAPBP;SNAP23;LY96;MYD88;PSMD7;CHUK;S100A1;VAMP8;PSMD4;TLR2;BTK;PSME1;STX4;PSMC3;PSMA7;PSMD10;SEC14L2;PSMD5;PSMC5;PSMD14;PSMB1;PSMB4;VAMP3;UBA52;PSMB5;TLR1;PSMC4;NDUFA2;PSMA5
prerank,ABC Transporter Disorders R-HSA-5619084,0.6572999105187901,2.1859659611924744,0.0,0.00016334110771009627,0.001,27/67,17.75%,PSMD9;PSMB10;PSMB8;SEL1L;PSME2;PSMB9;DERL1;KCNJ11;RNF185;PSMD7;ABCD1;ABCA1;DERL2;PSMD4;PSME1;PSMC3;PSMA7;PSMD10;PSMD5;PSMC5;PSMD14;PSMB1;PSMB4;UBA52;PSMB5;PSMC4;PSMA5
prerank,Metabolism Of Polyamines R-HSA-351202,0.670027590488963,2.174543817477852,0.0,0.0001451920957423078,0.001,22/52,17.75%,PSMD9;PSMB10;SMOX;PSMB8;PSME2;PSMB9;OAZ2;PSMD7;PSMD4;PSME1;PSMC3;PSMA7;PSMD10;PSMD5;PSMC5;PSMD14;PSMB1;PSMB4;OAZ1;PSMB5;PSMC4;PSMA5
prerank,Regulation Of RUNX3 Expression And Activity R-HSA-8941858,0.6825983000138205,2.1572883779520136,0.0,0.000653364430840385,0.003,24/51,17.75%,PSMD9;PSMB10;CDKN2A;PSMB8;CBFB;TGFB1;PSME2;PSMB9;PSMD7;PSMD4;PSME1;PSMC3;RUNX3;PSMA7;PSMD10;PSMD5;PSMC5;PSMD14;PSMB1;PSMB4;UBA52;PSMB5;PSMC4;PSMA5
prerank,G1/S DNA Damage Checkpoints R-HSA-69615,0.6464204310118433,2.1540949577146447,0.0,0.00059396766440035,0.003,27/62,17.75%,PSMD9;PSMB10;CDKN2A;PSMB8;ZNF385A;CDKN1A;PHF20;PSME2;PSMB9;PSMD7;PSMD4;PSME1;PSMC3;PSMA7;PSMD10;CCNE1;PSMD5;PSMC5;PSMD14;PSMB1;PSMB4;TP53;UBA52;PSMB5;PSMC4;CDKN1B;PSMA5
prerank,p53-Dependent G1 DNA Damage Response R-HSA-69563,0.6488579123995226,2.1510443910143513,0.0,0.0005444703590336542,0.003,27/60,17.75%,PSMD9;PSMB10;CDKN2A;PSMB8;ZNF385A;CDKN1A;PHF20;PSME2;PSMB9;PSMD7;PSMD4;PSME1;PSMC3;PSMA7;PSMD10;CCNE1;PSMD5;PSMC5;PSMD14;PSMB1;PSMB4;TP53;UBA52;PSMB5;PSMC4;CDKN1B;PSMA5
prerank,Role Of GTSE1 In G2/M Progression After G2 Checkpoint R-HSA-8852276,0.6660581909610758,2.142119832574991,0.0,0.0006031056284680478,0.004,23/54,17.75%,PSMD9;PSMB10;PSMB8;CDKN1A;PSME2;PSMB9;PSMD7;MAPRE1;PSMD4;PSME1;PSMC3;PSMA7;PSMD10;PSMD5;PSMC5;PSMD14;PSMB1;PSMB4;TP53;UBA52;PSMB5;PSMC4;PSMA5
prerank,Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,0.6130273605113062,2.1391622832975172,0.0,0.0005600266550060443,0.004,29/91,14.50%,LILRB4;TYROBP;LILRA2;TREM2;CD300LF;ITGB2;LAIR1;C3;SIGLEC8;OSCAR;LILRB1;CD99;PILRA;CD22;MADCAM1;SIGLEC1;SIGLEC9;CD300A;COLEC12;SIGLEC10;CD226;FCGR2B;MICA;FCGR1A;LILRA4;CD33;ICAM1;SIGLEC7;LILRA1
prerank,Regulation Of Activated PAK-2p34 By Proteasome Mediated Degradation R-HSA-211733,0.6922796862923194,2.135798336212061,0.0,0.0005226915446723081,0.004,20/44,17.75%,PSMD9;PSMB10;PSMB8;PSME2;PSMB9;PSMD7;PSMD4;PSME1;PSMC3;PSMA7;PSMD10;PSMD5;PSMC5;PSMD14;PSMB1;PSMB4;UBA52;PSMB5;PSMC4;PSMA5
