target,ctrl_mean,sALS_mean,C9_mean,JT_z,p_trend
score_DAM,0.3276466308701074,0.5844474721285555,0.6160931953959288,3.3643088284285048,0.0007673562488981212
APOE,2.836623191833496,4.088716983795166,3.6624464988708496,2.948962059486714,0.0031884311640251184
C1QC,0.4441700577735901,0.7981316447257996,1.0901603698730469,2.865892705698356,0.004158351569345076
C1QA,0.38617566227912903,0.5436843037605286,0.7675307393074036,2.5336152905449234,0.011289259663939122
CHIT1,0.005453391000628471,0.05222885683178902,0.08008404076099396,2.492080613650744,0.012699720992973784
GPNMB,0.12237571179866791,0.3469462990760803,0.6476067304611206,2.367476582968207,0.017909853377081175
score_COMPLEMENT,-0.4175771105826462,-0.18364691570485148,-0.04018968757545487,2.2844072291798487,0.022347609107746802
TREM2,0.16454435884952545,0.37557870149612427,0.2530032992362976,1.7029217526613418,0.08858271262197803
score_C9PROG,0.00038954164902497333,-0.00697348200488646,0.021982345351418985,1.121436276142835,0.26210220204980006
SOCS2,0.039681319147348404,0.011611757799983025,0.04001503810286522,-0.20767338447089537,0.8354840007045299
BIRC3,0.017563723027706146,0.006546771619468927,0.028745774179697037,0.0,1.0
