focus,partner,spearman_rho,p
GPNMB,CHIT1,0.15452084359613144,0.0
GPNMB,TREM2,0.12664418430207972,4.475560599349062e-224
GPNMB,TYROBP,0.15882991977077882,0.0
GPNMB,APOE,0.21695480091596103,0.0
GPNMB,ITGAX,0.12084637228562639,4.5338933907910314e-204
GPNMB,CST7,0.03061363207688945,1.4109288980117739e-14
GPNMB,LPL,0.055268965361782586,6.302834947771475e-44
GPNMB,CD9,0.09198829581221461,9.832921633861962e-119
GPNMB,CD63,0.1456002328516208,2.956969592732345e-296
GPNMB,SPP1,0.11790596883149636,2.7188329457415725e-194
GPNMB,CTSB,0.18247201725410497,0.0
GPNMB,CTSD,0.17017616001156452,0.0
GPNMB,LGALS3,0.17767719487800923,0.0
GPNMB,FABP5,0.06228432244275924,2.5040111944387915e-55
GPNMB,MSR1,0.14040442249224677,1.9608781297629645e-275
GPNMB,CD68,0.1764138071415929,0.0
CHIT1,GPNMB,0.15452084359613147,0.0
CHIT1,TREM2,0.041254055313100675,3.3236588133972314e-25
CHIT1,TYROBP,0.060495913608640726,2.716724158261213e-52
CHIT1,APOE,0.11026287472347206,4.9688905946133084e-170
CHIT1,ITGAX,0.04426734203154943,8.928359431489385e-29
CHIT1,CST7,0.009235199878391734,0.02028889621996886
CHIT1,LPL,0.015135540780886105,0.00014240450249785585
CHIT1,CD9,0.0300578658427323,4.1694561298909674e-14
CHIT1,CD63,0.052885851541094965,2.310561123696246e-40
CHIT1,SPP1,0.08323032378214888,1.7579442783007153e-97
CHIT1,CTSB,0.08368753308289019,1.5440002718764783e-98
CHIT1,CTSD,0.07778828125801678,2.3464229050552573e-85
CHIT1,LGALS3,0.06977078289460041,5.389474146645096e-69
CHIT1,FABP5,0.02551967696851747,1.413466594215845e-10
CHIT1,MSR1,0.05774607094113756,8.491293658437032e-48
CHIT1,CD68,0.08081912142433416,5.240341408038888e-92
