target,slope_per_step,se,p_mixed,donor_var,reliable
score_DAM,0.15764645725953794,0.03284377481466848,1.5875398545630173e-06,0.012435361243761617,True
APOE,0.5133503048796227,0.1523360623506913,0.0007520799174845319,0.267660239195008,True
C1QA,0.30883606245905704,401732.4491107825,0.9999993866178184,0.0,False
GPNMB,0.17173374061033714,337974.57397855574,0.9999995945739392,0.0,False
TREM2,0.10272039094361726,291450.4917024731,0.9999997187892409,0.0,False
BIRC3,-0.024474008004189186,77171.16641082564,0.9999997469594664,0.0,False
CHIT1,0.028330845882063357,133058.93673102092,0.9999998301147967,0.0,False
C1QC,-0.07911672610746738,435556.46175351244,0.9999998550681259,0.0,False
score_COMPLEMENT,-0.03896681679724076,248124.7026445143,0.9999998746959848,0.0,False
score_C9PROG,-0.0049742534383863165,59589.713491973846,0.9999999333965581,0.0,False
SOCS2,-0.001580720355891194,108820.9565861885,0.9999999884100231,0.0,False
