,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
EIF4EBP1,208.40711331044363,1.7643148646160662,0.21579376786477883,8.17593057516668,2.935910147223171e-16,4.263528715797489e-12
TRIM47,372.75226130216663,1.2990059551145603,0.16504264468637705,7.870729153565138,3.5258021095837175e-15,2.5600849117687373e-11
SLC18A3,64.69289584731251,-2.5027637748710876,0.35351693988792615,-7.079614842967716,1.4455566152167988e-12,6.997457722059451e-09
ENPP6,410.12968197446514,-0.928991957529383,0.134323379443663,-6.9160853559302735,4.642947149481308e-12,1.685621962619189e-08
NEFL,2924.9446097640944,-1.6133778175862767,0.24674135775634343,-6.538740940136528,6.20388780439493e-11,1.8018571739084636e-07
ERMN,6066.723014177729,-1.0094433534029468,0.16035426397439506,-6.295082702410284,3.0723600990985745e-10,7.436135559851584e-07
EMP3,393.5120723289528,1.2399574481312738,0.19990218345131905,6.2028209333352935,5.54599318159469e-10,1.1271628085169624e-06
CD44,3756.6590065588603,0.9814265405169829,0.15867795619852126,6.185021310011862,6.209408117432653e-10,1.1271628085169624e-06
DTX4,325.89342117111096,-1.4581694327374162,0.24128378511363152,-6.043379301475636,1.5091928740980877e-09,2.4351665464058257e-06
KCNE4,236.5679584209382,1.7972791837628177,0.2993454821670198,6.004029761037201,1.9247939623926536e-09,2.7951857921866116e-06
GLRX,843.2542686915183,1.9688973791322302,0.3292498457665762,5.979949283038063,2.232071046265326e-09,2.9467396121695512e-06
SOD2,5982.210706068538,1.8736963613198736,0.31908916996156966,5.872014902748148,4.305300308219211e-09,5.210130922996615e-06
FAM13C,782.8002007530068,-0.8370415387929758,0.14341501420437322,-5.836498663941502,5.330918972014032e-09,5.9550465624298284e-06
LYZ,838.835873616855,2.565147452977627,0.4447344175523762,5.767818616546651,8.030416639001953e-09,8.329836459399025e-06
CHIT1,76.67079344565867,3.693847706540065,0.650119335430731,5.681799487001471,1.3328486964368055e-08,1.2903752513103527e-05
SHMT2,72.65559728224734,1.1700237735682717,0.2077069317325347,5.633051164006974,1.7704890372663444e-08,1.6069401124488658e-05
SYNJ2,1334.212311153744,-0.8612897630838969,0.15324086339274987,-5.620496674418021,1.9040925705742446e-08,1.6265430770517165e-05
SLC38A5,142.16250109822175,-1.2693789045347639,0.22830619830333376,-5.559984415527049,2.697987409295489e-08,2.1766762865438386e-05
SESN2,66.10963580059837,1.005450621678789,0.18185209878686026,5.528947031055315,3.221585902087242e-08,2.4623089721111015e-05
GPD1,988.9578963341929,-1.1307095012413706,0.2073237717918764,-5.453834316580167,4.929513503597987e-08,3.254007556031349e-05
GRHL3,130.17746981252878,2.507971746679603,0.4595901071177454,5.456975047631017,4.8431438242065075e-08,3.254007556031349e-05
CNTNAP1,567.9382949900918,1.1989712662259688,0.21984023776774683,5.453829919401007,4.9296354656858335e-08,3.254007556031349e-05
AQP1,14145.259292200675,1.1236133956862333,0.20663581219611338,5.437650829953122,5.398764301041755e-08,3.408732833901233e-05
SLC44A1,7086.92754125076,-0.7591827392230576,0.1403187259384983,-5.410416422650583,6.287836351320139e-08,3.652478379754842e-05
UPP1,218.53198773986819,0.8845478498683437,0.16342900880549574,5.412428652254045,6.217563145447309e-08,3.652478379754842e-05
CARNS1,3205.510799847566,-1.1269784572416959,0.20997037068584923,-5.367321368060278,7.991459132574008e-08,4.463537289355375e-05
TMEFF2,513.7617361261961,-1.0514873900660024,0.19628003619332274,-5.357077624697183,8.457878951723794e-08,4.549085856923442e-05
APOC1,968.6118200684584,2.3200555999926498,0.4346254617426353,5.338057256678804,9.394779348170951e-08,4.872535203362091e-05
TTYH1,2797.895066029724,-0.7137887953149106,0.13435681158686882,-5.312635711464529,1.0805090218278906e-07,5.3866699108158146e-05
SIGLEC7,25.367994192796598,1.9104749932642442,0.35997322982690816,5.30726963830863,1.112795051125702e-07,5.3866699108158146e-05
SFN,85.20018529407545,2.628481425999998,0.4965028617201539,5.293990485560384,1.196756621029333e-07,5.6062256937380564e-05
ARHGEF37,773.9218358578332,-0.634960015192977,0.12043243548578177,-5.272333924260298,1.3469970947553402e-07,6.112841190636579e-05
CEBPG,298.9916272630229,1.0249603927748283,0.19631142399450846,5.221093973642106,1.7786924744547814e-07,7.827324883040101e-05
PLP1,58926.74010342217,-0.6167333375911876,0.11833323587842771,-5.211835314169913,1.869815042343013e-07,7.986310013207423e-05
APOC2,383.50587572524483,2.256367918862596,0.43759565068667217,5.156285066640672,2.518973181015324e-07,0.00010161257926306815
SLAMF8,61.131539566815,2.339579183007664,0.4536187235561447,5.157589538338563,2.5014923821356966e-07,0.00010161257926306815
HILPDA,1345.6080511544521,2.2715120568984792,0.44202009792528635,5.138933880066304,2.763015921525247e-07,0.0001084446411145666
GJB1,850.2687684714117,-0.9518512843230776,0.18551666355303698,-5.130812866580876,2.884936115634284e-07,0.00011025011124010808
