,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TRIM47,51.02014133270067,1.4999786960491701,0.18642615241796096,8.04596713816348,8.5566952831556675e-16,1.14882190871648e-11
NEFL,942.8694405331394,-3.325651587284839,0.43600926147798014,-7.627479232921742,2.3938835511980817e-14,1.6070140279192723e-10
AQP1,1538.5550876384305,1.560035789936546,0.21012937183366484,7.4241681509020365,1.1349090484774573e-13,5.07909629495278e-10
SLC18A3,35.40892461051781,-3.512056745944937,0.4919359995870543,-7.139255409022844,9.3837831946302e-13,2.519733463422101e-09
STMN2,366.2895809519527,-3.1879484022528235,0.44650976214671756,-7.13970594265597,9.353078960298869e-13,2.519733463422101e-09
CD44,467.4514831056394,1.2976035834165773,0.19641865367773123,6.6063154345085096,3.94002930479869e-11,8.816472241037868e-08
APOC1,128.5144556085035,2.9993821162717684,0.4760220283877434,6.3009313380527505,2.9586244507292614e-10,5.674641696498724e-07
EIF4EBP1,29.011102248714835,1.8065458191873887,0.29308743250006103,6.163846070701147,7.099896349778829e-10,1.191540104901632e-06
AHNAK2,59.854432746363905,-1.8968673384241328,0.3095442068696615,-6.127936806204998,8.902592884678907e-10,1.3280690229966557e-06
TMEM179,36.04753849198474,-2.193241507013747,0.362243363021809,-6.054607843516796,1.4076014871614059e-09,1.8898457566629033e-06
SLC6A11,71.55376522234623,-1.7032045567341336,0.2830626543955214,-6.017058521447545,1.7761488406614923e-09,2.1678703940655633e-06
CHIT1,10.899658199122692,4.316527824055047,0.7341226501534951,5.879845585955589,4.106493848865791e-09,4.594482201239343e-06
TSPAN18,21.216114011659606,-2.694768291356197,0.4693824963043555,-5.741092419451585,9.40677322748243e-09,9.715025950167624e-06
LYZ,136.87206591743626,2.6852279400129433,0.47248355185588325,5.683219933192491,1.3218210574063786e-08,1.267626394052717e-05
PLCB4,46.28720000163003,-1.370322519552052,0.2432227383930758,-5.6340230712206445,1.7605345300514206e-08,1.5757957733646914e-05
THY1,122.72616163612234,-1.9646601901806358,0.3507482126300706,-5.601340561221153,2.1270037591769884e-08,1.7848220294193903e-05
GJB6,53.74180746227861,-3.3481901239746104,0.599105330185861,-5.58865020101874,2.288413924551374e-08,1.807308550060397e-05
MEOX2,11.941714775669121,-3.47898384606849,0.6280039901032057,-5.539747996659633,3.02907212029763e-08,2.033416114355799e-05
NRGN,42.59081222018238,-2.6660228134059847,0.4807508191113945,-5.545539825254551,2.930486222030219e-08,2.033416114355799e-05
RGS7BP,13.100146307976907,-2.5294391077477623,0.45540898075981895,-5.554214375675168,2.7886307963239943e-08,2.033416114355799e-05
CCL2,85.8292277897847,2.761029020765165,0.5008628661202356,5.512544865129532,3.536819924891949e-08,2.2612068719809194e-05
SOD2,819.0557812907451,1.7459589829951305,0.31899641943429147,5.473287086078947,4.4176357102471335e-08,2.6959625929899096e-05
C1QB,207.1019611178877,1.7748654096990402,0.3275841791818656,5.418043734992722,6.025467882787422e-08,3.514106098849215e-05
MARCH3,36.079473536370344,1.4008188966599462,0.2589031534049131,5.410590323977736,6.28173293403703e-08,3.514106098849215e-05
FXYD7,66.36065537411785,-2.646393143593516,0.49001962574918845,-5.400586026625891,6.642354837030712e-08,3.567210241678974e-05
CHGA,36.28359593112167,-2.1697660711064852,0.40500486946122044,-5.35738267540569,8.443616151004129e-08,4.3601534785915934e-05
CYP4X1,20.81173291250071,-2.399661821637875,0.4503348537638868,-5.328616698400234,9.896360174772757e-08,4.9210567298703346e-05
SNCG,581.1547631898188,-2.305205627385932,0.43513379226717064,-5.297693877956838,1.172743585968028e-07,5.623305494716694e-05
ACOT7,102.52521800198666,-1.6827412930269565,0.32001671258066455,-5.258291916872307,1.4539958422982298e-07,6.73149937196415e-05
