,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FAM167A,363.14970273005554,-0.9065614602685494,0.17870924464320087,-5.072829120164044,3.9194443554571087e-07,0.0010216431190185557
PGAP1,76.04914211444105,1.2577298387892017,0.2437581429289908,5.159744916318923,2.4728653463097624e-07,0.0010216431190185557
ZNF25,198.4621073683433,0.837842382411549,0.16494064405722014,5.079659941917591,3.781110754847359e-07,0.0010216431190185557
ZNF280D,98.74018350480236,1.5285478616681405,0.2994758670928848,5.104076921143196,3.3241305288689035e-07,0.0010216431190185557
NPAS2,200.64478381118425,0.936892623504504,0.18469051717274945,5.07277058858515,3.920650545009423e-07,0.0010216431190185557
COTL1,1814.213541794969,-0.777870872637957,0.1560142840561364,-4.985895216864033,6.167556536563608e-07,0.0013392849019147875
RBM6,829.1383638848783,0.6625583120101979,0.13593338199522675,4.874139834418769,1.092835638920532e-06,0.002034079362785087
FASTKD1,64.74659048049676,1.2976229297073463,0.2689870710974221,4.824108922459591,1.406305540638613e-06,0.002146211826159255
RBM26,252.62771791117515,0.8240189429033739,0.1711864405000915,4.813576008100557,1.4825317703149354e-06,0.002146211826159255
FEM1C,225.62881649543138,0.9768562090982407,0.20445524820687577,4.777848539793019,1.7718075770472197e-06,0.002308488092134823
ALAD,1661.0074974818501,-0.5850571961697775,0.12318307856832109,-4.749493217489989,2.039270358174889e-06,0.002415423045150966
TTC14,223.14936014046296,1.0760517370115372,0.2287145256507706,4.704780922636217,2.5413870599340407e-06,0.0027593110003233845
BIRC3,30.678087844199474,1.5351565677919425,0.33392940816294775,4.597248790507337,4.281063130368086e-06,0.0037185314350377196
ADAM12,40.38763140458679,1.2476966095445785,0.2713324417934652,4.598405562185996,4.257366187519606e-06,0.0037185314350377196
HR,87.10856590118662,-1.2216235140591942,0.2653049385737647,-4.604601484715812,4.132564552699005e-06,0.0037185314350377196
ZNF707,144.4832897630087,-1.0403260177169018,0.23316810010742944,-4.461699594573974,8.13121613118574e-06,0.006621350935826188
SELENOS,261.40581165974083,0.8025133142361515,0.1811377822559625,4.430402670504901,9.40572919567246e-06,0.006808180316134249
TPPP3,3225.371755780656,-1.0188415929838937,0.22961100763366807,-4.4372506504975595,9.11151738485359e-06,0.006808180316134249
ABR,1924.8668085627166,-0.5991675873010632,0.13574570949805856,-4.4138970544010645,1.0152625093187768e-05,0.006962029070481233
MAN2A1,1136.4857938057457,0.9943996022054127,0.22643469236516173,4.391551452733163,1.1254469437462584e-05,0.007291532573953077
MKLN1,396.1721844871581,1.042123827755152,0.23781211397925345,4.382130961781308,1.1752412622074956e-05,0.007291532573953077
DBI,4740.294275337046,-0.650312821302233,0.1498482195956327,-4.339810129590531,1.4260587831102033e-05,0.00844550903870129
OMD,107.26446314667656,1.1363980306448702,0.2626473507682017,4.326706617527596,1.5135534213897743e-05,0.008573951098820596
CLK1,1008.7345864553689,0.7286095327176207,0.17002778252306355,4.285238105830075,1.8254357451431632e-05,0.009147539355180874
ZNF14,27.8574206683209,1.4069854937881905,0.3272414404088893,4.299533372149192,1.7115810236960723e-05,0.009147539355180874
OSGEP,417.9278063124482,-0.8039139114064923,0.1875836248517927,-4.285629473476983,1.8222248333226425e-05,0.009147539355180874
PDS5A,96.42702941440717,1.0780229060798612,0.25467099065450877,4.233002366344608,2.3059207785563116e-05,0.011127348823633402
PPP1R8,877.4365103561829,-0.8107154024470584,0.1927151733838863,-4.206806284174226,2.5900497436407596e-05,0.012052056467819806
EMCN,45.24044496676991,1.748188794581844,0.41850937669380467,4.177179513616673,2.951460902818552e-05,0.013260201414766522
CAPNS1,454.1196762009104,0.920139858362246,0.22312048985504745,4.123959475707607,3.724144446539379e-05,0.01617395933132052
RSPH1,190.15120908464144,-0.8175388238782174,0.19875004946174982,-4.113401863759313,3.898708218812355e-05,0.016385893349324575
ZFP37,33.21044311568251,1.1821758239361435,0.2897354475987074,4.080190510805202,4.499880547539295e-05,0.017294412861689187
NUDT18,40.49897237481338,-1.230344122128964,0.3015912042875311,-4.079509298142455,4.5130864786049e-05,0.017294412861689187
FANCC,38.45836971356485,1.0891602092083215,0.2665394832757934,4.086299694973697,4.3830754818534566e-05,0.017294412861689187
HES6,563.7424925731742,-0.9268067044652102,0.22793042176361372,-4.066182553842681,4.778950600698742e-05,0.017789984964715403
CANX,799.0103972401115,1.0062439490356814,0.24829438876014032,4.052624604447837,5.0646233718036e-05,0.018329716086452532
RSRC2,847.7475279292189,0.49382731144748926,0.12205720506982404,4.045867764750065,5.212965509814173e-05,0.018356683142532127
PDS5B,243.70219418660787,0.6350214528047768,0.1579221660642201,4.021103994651018,5.7926023396420625e-05,0.019861004179788533
CCDC115,410.9621693556012,-0.7354392139557154,0.18336545655816253,-4.010783861694462,6.0517492364801054e-05,0.02021749764156392
PSMG1,85.4025231816418,1.0299465165943917,0.2579887789556069,3.9922143930593914,6.54591495071377e-05,0.02132168147321243
ZNF609,532.6102633311474,-0.6552208309644787,0.16465993003816265,-3.979236665609055,6.913689160741116e-05,0.02144725144649905
PLLP,1317.2370399404608,-1.1707134136920363,0.29381098601697797,-3.9845801192212273,6.759954712682429e-05,0.02144725144649905
CDKL3,48.087857935882525,1.2832159234113996,0.3260484344614244,3.9356604350241713,8.296821561621265e-05,0.022666189158718063
SLMAP,388.7884673448201,0.6171330860026595,0.156478843605662,3.9438755539239505,8.01752748998868e-05,0.022666189158718063
ARL5B,144.13316416042377,0.8766142047082559,0.22287888796267372,3.9331415044347557,8.384284652620172e-05,0.022666189158718063
COX7B,204.74773379360929,1.0888741879141077,0.27588601039300203,3.9468263953036145,7.919393618348356e-05,0.022666189158718063
SULT1A1,113.46692763635876,-1.2146887868133738,0.3070685256349204,-3.955758032516626,7.629235119936827e-05,0.022666189158718063
COPZ1,1053.3837732596212,-0.843322894980863,0.21444886556806,-3.9325127355976437,8.406252462054154e-05,0.022666189158718063
PEBP1,9463.152867551738,-0.8317192322698297,0.2116787626461288,-3.929157662643018,8.524393804414652e-05,0.022666189158718063
MTRF1L,38.97581282409306,2.0498890228183244,0.522933989903018,3.919976636436449,8.85575533744968e-05,0.023076327258326375
TMSB4X,92439.72422159382,-0.7920062756702113,0.2039449925213113,-3.8834308500486983,0.00010299283200505313,0.026311639376349748
SOCS2,56.11080109102689,1.7630699792648095,0.4563056296648759,3.8637918637113007,0.00011164035735215546,0.027444570112098745
SCARB2,1075.3818744887399,0.7955342568569116,0.20569761007556472,3.867493922582112,0.00010995956803218285,0.027444570112098745
ZNF205,130.52995500942777,-0.9216050378797096,0.23904170369696476,-3.8554152837198497,0.00011553333527131774,0.027875626393518496
ZNF558,61.64947983568322,1.0152194485676576,0.2637601338948163,3.849025376111283,0.00011858872313774812,0.02809259043203128
FAM200B,231.58990379065972,1.115210943285742,0.2922511984420337,3.81593283186121,0.00013566940921683245,0.030809911349108172
ESAM,101.41354236859833,1.121597505671554,0.294422068943896,3.8094885675342547,0.00013925454516011126,0.030809911349108172
PCDHGC3,1089.8308704479825,-0.8183251338691269,0.21530515543615883,-3.8007688771380694,0.00014424780046784852,0.030809911349108172
CFAP410,362.551819740173,-0.9109945421143764,0.2392715506067874,-3.8073667337554933,0.00014045438319800556,0.030809911349108172
ITGAX,728.3675143623348,-1.0430955307276664,0.2742844367861615,-3.8029701683033803,0.00014297157765177733,0.030809911349108172
ATAD2,45.759573345720575,1.1214653401703214,0.29380698195111654,3.8170139209180207,0.0001350765515970752,0.030809911349108172
AHI1,123.61564384330453,0.801372131334102,0.21139493121260008,3.7908767572490247,0.000150116432917967,0.031240414193929873
POGLUT1,161.48240697703102,0.6217950898410889,0.16409137433212911,3.789322213747474,0.00015105887590894022,0.031240414193929873
GPR4,62.87406890496787,1.5888135374535621,0.4197580177514362,3.7850701362764525,0.00015366523489847772,0.031282880398316656
SUSD3,91.05580362244524,-1.1936156525947386,0.31682711485341525,-3.767403724731649,0.0001649541226812475,0.03192074978990105
CHIC2,216.20995161770665,0.6502643214795866,0.1729875831860836,3.7590231015603823,0.00017057808875791346,0.03192074978990105
SRPX,531.7547039172391,0.5138104616606258,0.136223875496069,3.7718091618635,0.0001620681911666977,0.03192074978990105
CPD,544.4318149685839,0.5386603647815291,0.14304265927340828,3.7657323173218322,0.00016606163258426438,0.03192074978990105
RPAP3,142.2240585749369,0.8753322774566284,0.23307876691849655,3.7555213159451646,0.0001729810369988842,0.03192074978990105
DCUN1D5,178.41688002231757,1.1221287325526923,0.2982983826815071,3.7617660627774443,0.00016871781731898206,0.03192074978990105
ATG4B,231.45322052371415,0.68697245391249,0.18299138611506263,3.7541245437669426,0.0001739483640404463,0.03192074978990105
CXXC5,1627.7038883154755,-0.6464169260573668,0.17240092764476544,-3.7494979573968306,0.00017718893996920615,0.0320638152619276
WDR27,73.77597254080425,1.1422736627270307,0.3052952302423041,3.741537860976212,0.00018289761659732616,0.03264346639241866
PRPS1,508.4792464104547,-0.6494299708735133,0.1740363658977002,-3.731576257201629,0.00019028538911851996,0.03305637779766929
PAMR1,578.2765776037563,-0.5868514292843718,0.15717312633200228,-3.7337898849498297,0.0001886198684355015,0.03305637779766929
MIEF2,152.99185647850993,-1.0630847849131597,0.28605012681950104,-3.716428294345667,0.00020205895143151386,0.03463981681843677
HOMER3,1069.470008779698,-0.7643451645791938,0.20626340497845122,-3.7056751034389572,0.00021082841504425334,0.03567381064430619
PI16,381.9697866835688,-0.929964408849374,0.25185420775732004,-3.692471200423472,0.00022208549696978023,0.03662723974707932
ACO2,2453.6790743740717,-0.7587717694071542,0.20543356217409092,-3.6935141530776114,0.00022117619421351749,0.03662723974707932
DYNLL1,717.0680410690802,-0.8388299856700469,0.22758371048146006,-3.6858085488433123,0.0002279776901364018,0.03667063363934789
TTYH1,2166.074410143313,-0.6073439265972442,0.16469920551408612,-3.6875947561586773,0.00022638380324840082,0.03667063363934789
ATP1B3,347.57938980199395,1.0074508673184015,0.2738003597423759,3.6795089249200834,0.00023368351151873394,0.037130030141190054
NES,1868.2304812764924,-0.476179623931419,0.12978418893742086,-3.669011054659536,0.0002434905514956318,0.03822214934260948
ZXDC,122.21082461740555,0.7803718618129104,0.2133038482652711,3.6584987479570286,0.0002536969801003693,0.03935021373485371
CEP112,116.10702515001903,0.8845730030389539,0.2423224269614619,3.6503967632332825,0.0002618355345491295,0.039668083484193116
GSTZ1,285.0544196310245,-0.7997945417393839,0.21908318498510732,-3.6506432102205917,0.0002615844065465666,0.039668083484193116
FAM177A1,951.2848133408469,-0.9805365188987799,0.26890720242111465,-3.64637506943097,0.0002659656918070688,0.03983065515579654
OGT,760.068686396265,0.5375728374697033,0.14829596463381728,3.6249997685177453,0.0002889617105882236,0.03984903208140466
ETFA,342.44215107737114,0.6325407398033666,0.17456250700639955,3.623577311364904,0.00029055630115384473,0.03984903208140466
PLCG1,288.57128586194744,0.7073703174847891,0.1947816613232018,3.6316063467137565,0.00028166254266151714,0.03984903208140466
PLEKHA2,615.5706662679141,-0.6734001532866624,0.1849487795874327,-3.6410089041345586,0.0002715717428880036,0.03984903208140466
FAM50B,316.98069643062723,-0.7519762748807928,0.20685299492660486,-3.6353173186958565,0.00027763867994861887,0.03984903208140466
AK1,1544.3815435240415,-0.5311858761459294,0.14594451064242678,-3.639642723167356,0.00027301658217660163,0.03984903208140466
FAM210A,215.0189972432869,0.7024288361993193,0.1937502820830141,3.625433876263247,0.0002884767060336239,0.03984903208140466
CALHM6,97.85077211377057,1.2962422541796148,0.35741686412323465,3.6266958397706723,0.0002870711114528581,0.03984903208140466
RNF214,525.8573365302482,-0.6692337330059712,0.18540795781334068,-3.6095200060383696,0.0003067641155090854,0.04163364230174868
GLRX3,276.3090715602881,0.641833655388456,0.17814765043098313,3.602818526293791,0.0003147853020664419,0.04185038470024155
TAF1D,267.71132383502044,1.1343723525419402,0.31468582777041826,3.604777376150321,0.0003124206201909638,0.04185038470024155
CEMIP,186.61628863977,1.198807073910444,0.33386388489305874,3.5907060576331538,0.00032978339103839025,0.04249199691249464
KIAA1328,108.31824168306792,0.768614772791677,0.21419162317043694,3.5884445965474265,0.00033265666475358456,0.04249199691249464
ZNF146,309.35354360685346,0.7171815756363458,0.19956262579143438,3.5937669831318115,0.0003259313456183963,0.04249199691249464
NDUFA12,208.78004349207342,1.1039027759165334,0.30721924995315214,3.5932083555469507,0.0003266311986098791,0.04249199691249464
TMEM258,82.38959590115161,1.2031495979079396,0.3361218177191329,3.5795046155358614,0.0003442461686006078,0.04348436592061782
COX8A,1379.775014136786,-0.6830120776353251,0.1910607204849553,-3.5748429918074534,0.00035043813198747955,0.04348436592061782
PSMB10,655.4929938883314,-0.4636156114515421,0.12965320153087634,-3.5758130611308827,0.0003491410833594479,0.04348436592061782
ACBD4,217.09706092554583,-0.7182066229364822,0.20145047734939056,-3.5651770717368065,0.00036361061638577255,0.04469323321594557
GABARAPL2,1344.0630146439673,-0.4650150674355404,0.13063793960794814,-3.559571352939865,0.0003714606005077206,0.0452314034020102
ZNF322,231.85715415627334,0.6527753842442315,0.18379687927041913,3.551612991664605,0.00038287755983848454,0.046189923399403844
CCDC7,231.06151300528427,0.9457619493030457,0.26722855007116125,3.539150098487588,0.00040141753713091814,0.04711773956106966
PANK3,160.5259227407288,0.9592222078070636,0.2707320206837183,3.5430689187950595,0.0003954993291292738,0.04711773956106966
MGAT4B,217.30155103116257,0.6266668114766683,0.1769478429409214,3.541534053545355,0.0003978075054527475,0.04711773956106966
MINPP1,54.44949828103403,0.9859630399222022,0.27914251274600493,3.5321135079820025,0.0004122523599099463,0.04768027631159404
VARS2,247.21365674880957,-0.645842539846427,0.18289109473732043,-3.531295718766549,0.00041352914446313047,0.04768027631159404
MUSTN1,77.28575473439602,-1.10533058437931,0.3132920092433323,-3.5281161081922314,0.00041852853275780276,0.04783340573071414
STK38,169.57129989774623,0.9513868260757284,0.26985867483864534,3.5255002517320753,0.00042268377521846606,0.04788823397670777
CCS,472.7623361190889,-0.6768344844363393,0.19221023165228518,-3.5213239098569726,0.0004293977530048679,0.04822951141293469
TMEM123,261.07832970646325,0.977954137907523,0.2783195014744388,3.513782299575366,0.00044177471301743755,0.04836876248658987
DDAH2,1182.4757533035504,-0.5721967676059355,0.16271702003112237,-3.516514544676969,0.00043725270160929573,0.04836876248658987
SNAI3,34.25554869133514,-1.169992956404758,0.33280669229135834,-3.515533141324208,0.0004388719803219998,0.04836876248658987
PCDHA10,82.4238349479637,1.0109695446082325,0.2892322884970486,3.4953550651677983,0.0004734314953627623,0.049769017734783455
TSC22D1,476.76584673657544,1.6651549214149746,0.476714408639769,3.4929821529125524,0.00047765843153913553,0.049769017734783455
BTBD7,216.67778845004148,0.8124561330816166,0.23207609678860197,3.500817810727326,0.0004638328205626037,0.049769017734783455
PRPF38A,672.0264364458833,-0.44382284234981156,0.12713519390345074,-3.4909518656719114,0.00048130295760094523,0.049769017734783455
UHRF2,164.4471377188137,0.5937126384104382,0.1697143340700023,3.49830579522852,0.00046822394748158384,0.049769017734783455
ATP13A1,133.5324814936838,0.6835157115262828,0.19573018534291123,3.49213234703064,0.0004791807566759275,0.049769017734783455
ATM,253.90743561981319,1.0268775004957267,0.2932798559750848,3.5013570812137997,0.0004628951724934444,0.049769017734783455
ACOX1,953.6131074236821,-0.5212522674480806,0.14943366671230116,-3.4881849513311307,0.00048631155740508895,0.049890970719928374
ZFR,604.7587482714841,0.7582060777786584,0.2175168185561982,3.4857354149043256,0.000490786170326355,0.049956664165485
SLC25A51,60.65275167120928,0.9952039770488805,0.2861573463228919,3.477820820737974,0.0005055077135159431,0.050663538456917095
SNAPC3,492.0680374595925,0.549696735934432,0.15796457650281406,3.4798734507710303,0.0005016506772096879,0.050663538456917095
EIF2B4,107.33836977571687,0.7663958278356053,0.22058763205321744,3.47433725409732,0.0005121169190745348,0.05080862793162331
BEX3,4420.97835317551,-0.6358162281511124,0.1830762458545298,-3.4729586308882716,0.0005147546923765659,0.05080862793162331
ZNF132,29.938457020773246,1.101772660934686,0.31753722692857006,3.469743285194493,0.0005209560288353262,0.05103410601274786
PRPF39,360.591274641541,0.6905498423499667,0.1992537089677864,3.4656812459215445,0.000528889910914328,0.05104375295779836
PPP3R1,617.4955632319229,0.6691906358341225,0.19307074125471801,3.4660385695171705,0.0005281875036836596,0.05104375295779836
OTUD5,743.0262735028783,-0.5144349564271724,0.148615644681979,-3.461512800539985,0.0005371485752703069,0.051084005745962245
ZNF260,78.44856336527975,1.2123878476804963,0.35022887069531256,3.4617016160704623,0.0005367719042355887,0.051084005745962245
FBXO11,252.89582543936118,0.6984742641234118,0.20229101564152144,3.452819008834151,0.000554761087016996,0.05237668262858291
ZNF428,1032.3273767566352,-0.8161228649440798,0.23664924375782806,-3.448660354812917,0.0005633748483537736,0.052807272656124574
INMT,49.26865323505631,1.1958088948928025,0.3472080419775624,3.444070270037349,0.0005730267507503372,0.05323415070167231
AMOTL2,723.1764925021901,-0.6596892151993089,0.19172364733710565,-3.4408338478945395,0.0005799245265753885,0.05323415070167231
TRMT2A,253.68978198157913,-0.670451018176065,0.19496586849764025,-3.4388122564344115,0.0005842722810913456,0.05323415070167231
AKR1C3,39.07452237677991,1.694557888497882,0.49274725315684614,3.4390001722820114,0.0005838668624521885,0.05323415070167231
KRIT1,328.8170441840432,0.5587399877961564,0.16258924803960464,3.436512527938223,0.0005892551012099938,0.05331531051156257
TDG,34.68726551170967,1.2918737234233988,0.37645252169904964,3.431704262712235,0.0005998012468096019,0.053895244446084845
ZNF844,25.71680220368829,1.3033405989365876,0.38029763807523964,3.427159331130869,0.000609931077831564,0.05443008228128388
RXRG,207.75079792073743,-0.7563956397372331,0.22103896147198904,-3.4220014186643137,0.0006216198926118337,0.05488391314139476
RAP2B,660.6303274435595,-0.773673564977795,0.22614061318105175,-3.421205744933484,0.0006234414878291829,0.05488391314139476
DDR1,3574.885214245655,-0.6594554560790536,0.19316423773360142,-3.4139624591821622,0.0006402539710962814,0.05598569791552652
ZNF654,142.56818996901336,0.7857801812343459,0.23040788815897933,3.4103874980710938,0.0006487064084966791,0.056346638642021545
DPH3,214.7878358142325,0.922694095886411,0.2711339521780968,3.403093151831944,0.0006662756051521221,0.05636951207485064
PDCD6IP,531.071291896016,0.5710775603020436,0.16767166478987677,3.4059276563974485,0.000659396496471204,0.05636951207485064
CHCHD5,446.24361861734184,-0.483004884071131,0.14192265954242694,-3.4032964547619655,0.0006657799930132193,0.05636951207485064
TTC32,64.58714351002203,1.2544073374637996,0.3683516743521103,3.4054612067941945,0.0006605239724029285,0.05636951207485064
ACKR3,99.78033653798542,0.8496132887361403,0.24981950825232033,3.400908498619019,0.0006716230472014413,0.05645533343217793
ZCCHC18,54.87675903739826,-1.0060727874193174,0.2964706464499786,-3.3934988150304615,0.0006900585708238898,0.05763316102092603
DENND6B,105.79603140337629,-0.8404698701006038,0.24820632290315878,-3.3861742935071204,0.0007087435374478846,0.05764790275894946
ASXL1,788.2185526965782,0.4778928269942002,0.14118835547068098,3.384789244134506,0.0007123292497580553,0.05764790275894946
ELF2,247.4363100759574,0.6379897105786901,0.18848789470548297,3.3847781661287315,0.0007123579970980784,0.05764790275894946
PRKCI,108.62993661081013,0.6704951193887111,0.19796567934346404,3.38692606522681,0.0007068043276899603,0.05764790275894946
ARHGAP29,287.23556873798964,0.845520081251131,0.24968358915753325,3.386366257005644,0.0007082478944050343,0.05764790275894946
SUV39H2,29.942295573422054,1.2123524076119676,0.3583814730041996,3.3828545807605437,0.000717366062718408,0.05769482982196381
RND3,118.88381653060767,1.2154571190552268,0.3597387227464958,3.378721950685712,0.0007282362151662041,0.057889983077331196
GXYLT2,284.43850648909176,-0.6459347880087059,0.19118670925019507,-3.3785548720513208,0.0007286788874573887,0.057889983077331196
H2AFZ,152.41310683532112,1.3593164869642635,0.40267290600966626,3.375733670374219,0.000736191464713821,0.058132355113675
CCNA2,26.77193134951016,1.208663421069655,0.35987781943308655,3.3585382477132253,0.0007835587696873025,0.06025274239428202
FCHO2,143.48131207522474,0.9640627884880488,0.2873179250678248,3.3553868532931608,0.000792540696450886,0.06025274239428202
IFFO1,293.0604399309487,-0.6140688393545679,0.18319338885357347,-3.352025109625508,0.0008022274238070987,0.06025274239428202
TMTC3,161.37430618877875,0.5872245194282343,0.17455375128859593,3.364147233119929,0.0007678057075805606,0.06025274239428202
MARK3,417.08508394926594,0.48206319532982234,0.1434856011500243,3.359662512935994,0.0007803773852097959,0.06025274239428202
FAM185A,50.513758684126664,1.0280318963005093,0.3067666640551258,3.351185173483428,0.0008046647614249038,0.06025274239428202
SERPINA3,4839.0133391590825,1.5559118570960553,0.4632987503172567,3.3583338095140585,0.0007841385697881024,0.06025274239428202
SEMA3F,66.33535837880781,1.5678533020265328,0.4671488050404616,3.35621815813215,0.0007901621245268748,0.06025274239428202
ZNF268,267.69107855303827,-0.592088151166998,0.17665552367358528,-3.351653765783328,0.0008033041480567768,0.06025274239428202
DHX57,183.91969678951915,-0.6403553910857744,0.1913895976119893,-3.3458212937151837,0.00082039251297929,0.06089788941163847
MSANTD3,220.6951337345111,0.5874884951616176,0.17573905603127085,3.3429592057048514,0.0008289008436583935,0.06089788941163847
ABCA9,47.98792202709769,1.2390683557084265,0.37049180156951905,3.3443880551724643,0.0008246430220446431,0.06089788941163847
TPK1,54.45397109531124,0.9873170962851875,0.2954330974337399,3.341931235401356,0.000831976691631871,0.06089788941163847
GNPTG,1479.9419911586508,-0.6169623001080082,0.1849737269065354,-3.335405035222924,0.0008517524002245252,0.06199710627109128
NOXA1,59.678500660232736,-0.9017286363312855,0.27105778293087623,-3.3267026188332682,0.0008788010399728051,0.06361054861003156
CMC1,101.41283915884517,0.6929516647768638,0.20895196232258323,3.316320445495862,0.0009121117773155458,0.06560324565408202
CEBPG,315.25388274683155,0.7034058022129335,0.21218819151573265,3.3150091774111736,0.000916401159647166,0.06560324565408202
COL9A2,550.2000455124424,-0.8269752818714919,0.24967047779831508,-3.3122669895298,0.0009254318108273298,0.06588771072824744
DNAJB1,863.5694467044427,1.152608665753635,0.34819143926412166,3.3102728435529403,0.0009320506977960389,0.06599830729122061
PADI2,6472.918947025763,-0.602553220769666,0.18221827351051853,-3.3067661610507115,0.0009437964164981082,0.06638552254885037
PLEC,1967.362425962489,-0.6708698123422361,0.20294906087202744,-3.3056068821390756,0.0009477095091017092,0.06638552254885037
SOGA1,644.7652785330056,-0.5042385089914352,0.15277561406731324,-3.300516984139018,0.0009650687216485273,0.06724000200191797
UBA6,371.80009692106233,0.47243281729364167,0.14366796485193306,3.288365766025432,0.0010077082610890139,0.06910226807225664
PXYLP1,111.89266135523663,-0.76169367707894,0.23153885716171493,-3.289701289952149,0.0010029379212321348,0.06910226807225664
ACAD9,277.56420318347386,-0.5553355052123345,0.16883797693039715,-3.289162280363438,0.001004860680729091,0.06910226807225664
VBP1,364.0455932003131,0.9204495628205135,0.2802018377813008,3.284951912195986,0.0010199977868113948,0.06957880190767363
