,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CANX,146.86943617632102,1.0726634450920631,0.2148545479555974,4.992509841186807,5.959967586903269e-07,0.0007166525525766774
TPPP3,514.9942875247466,-1.0370135862596495,0.21082670325811778,-4.918796197225646,8.707807443216007e-07,0.0007166525525766774
FAM177A1,143.24079250325423,-1.0796395657488806,0.24821865663975046,-4.3495504341392195,1.364169082015818e-05,0.00589137520717714
CLK1,195.67465124619685,0.7574283883316587,0.17456510150525942,4.33894508009001,1.4316829179045298e-05,0.00589137520717714
CERCAM,305.4064781070318,-1.0996454285464883,0.25659759159718726,-4.28548616415986,1.8233999662725082e-05,0.006002632688969097
SERPINA3,937.7517899896708,1.7170749628993394,0.43194127450840614,3.9752509524669724,7.030508194269285e-05,0.01928702747961207
DDAH2,206.56758955957488,-0.6516024469338202,0.17129479808414264,-3.8039826907863428,0.00014238813391075886,0.019530905701425755
COPZ1,170.6503528369585,-0.8210454460267577,0.21433066068964404,-3.830741917114935,0.00012775745441319277,0.019530905701425755
RBM6,137.5546634684348,0.7662631843646333,0.20071028778844308,3.8177573895579595,0.00013467025874725543,0.019530905701425755
ACO2,410.40382939453946,-0.7936922180731333,0.20476799096160744,-3.8760560883851474,0.00010616322217417353,0.019530905701425755
COTL1,279.48601455879066,-0.6928456339654653,0.18073823157829846,-3.8334204551808635,0.0001263736783271479,0.019530905701425755
PCDHGC3,180.83733967743157,-0.7449297660197663,0.19048309532658328,-3.9107395054799183,9.201396792455228e-05,0.019530905701425755
FKBP8,226.99510486779332,-0.8354649413253876,0.22582343023735654,-3.6996379890574436,0.00021590722322489147,0.02538452067344081
PEBP1,1471.7974334777139,-0.812857897492895,0.2190072679367295,-3.711556722070644,0.0002059884944382226,0.02538452067344081
ADAMTS9,162.66894481281622,1.6488929799323908,0.44826231125772287,3.678410918165235,0.00023469163231383224,0.025753495119237857
MAN2A1,165.2270526962261,1.0785435758339197,0.29480746837113675,3.6584676154680316,0.00025372779401210035,0.026102246808994825
FBXO2,686.0179944338942,-0.7556810604591295,0.20801999219089376,-3.632732856588435,0.0002804353111730237,0.026237267663806543
RGS2,166.56216072523054,1.8070877445708868,0.4982552136058019,3.6268315819382013,0.00028692030252036317,0.026237267663806543
BMERB1,149.88387414608962,-0.8801520365207275,0.24937713919481022,-3.5294014493973482,0.0004165007972285453,0.036082121696746614
DDR1,564.018709000234,-0.6253301368070938,0.17919376494431516,-3.4896869151748473,0.0004835867398208605,0.03640145524360319
SCARB2,169.44005955743162,0.85480742359249,0.2450664623180788,3.488063668552945,0.0004865322086022298,0.03640145524360319
DNAJB1,167.9509645142481,1.2641351743678326,0.36028301208499486,3.5087282274347387,0.0004502547389166357,0.03640145524360319
HSPA5,146.19140999741415,1.4963535223844349,0.43075335901191264,3.473805812720436,0.000513132250576614,0.03671987154881917
TMSB4X,14164.782710583373,-0.7784128815097086,0.22481967222256177,-3.462387760885593,0.0005354051744663793,0.03671987154881917
HSPA1B,463.9941988398248,1.4455910597099064,0.4189467982738098,3.450536119779857,0.0005594742963463343,0.03683578767144265
ALAD,270.6512920861968,-0.5513237913066047,0.16037655432125328,-3.437683230194843,0.0005867136191048917,0.03714348527102507
PLLP,211.30353389999578,-1.0865237492996844,0.31714364863365857,-3.4259672359220357,0.0006126142749361193,0.03734678135351305
GYG2,131.8097423559688,1.01606474588047,0.3021129869011808,3.3631945329540507,0.0007704605050406213,0.04373027556196078
PHF10,159.6500208291494,0.788566733764131,0.2342039836649555,3.3670082012448965,0.000759884284782142,0.04373027556196078
TTYH1,322.7067929541924,-0.5893909542380357,0.17669342620498577,-3.3356699617917354,0.0008509412028123299,0.0466883073276365
PCSK1N,237.20225753089784,-0.8043222365489929,0.2421164225134729,-3.3220474191676748,0.0008935950618413457,0.047447015219059835
EIF4H,225.95922348237954,-0.7353411455623164,0.22208891520883103,-3.3110213756993336,0.0009295610758044573,0.04781429783669177
GNPTG,237.68320328589846,-0.5859001308787897,0.17798532405264497,-3.291845178794014,0.0009953238884426914,0.04964554910232333
AK1,272.26798131473186,-0.5031194895545958,0.15418042423379547,-3.263186568949101,0.0011016696879228873,0.049799718828229936
PSMD9,150.83147437074928,-0.5769473115776311,0.17640322721422946,-3.270616533998943,0.001073133174034823,0.049799718828229936
HOMER3,165.2116699103964,-0.6874103489219517,0.21067670029278712,-3.2628684043685223,0.0011029072003983452,0.049799718828229936
BEX3,663.2221759813888,-0.6121204504272747,0.1878447678465251,-3.2586505200261726,0.0011194347488727265,0.049799718828229936
PDK4,296.98354512157727,1.1292247493177614,0.34963121174092443,3.229759562068255,0.001238943625538727,0.0505292981744566
MARCKSL1,1342.5447627369879,-0.8374796749896601,0.2618234979290137,-3.1986421448571427,0.0013807644533593024,0.0505292981744566
CALM3,350.7654554139797,-0.7402173920325824,0.23063539004367742,-3.209470115980037,0.0013297986924128726,0.0505292981744566
TCEAL3,200.64740410114598,-0.7459189255701102,0.23230530895989496,-3.210942224737899,0.0013230053108375832,0.0505292981744566
CCDC92,192.50941051974723,-0.7453235487375557,0.2323414723631974,-3.2078799413496957,0.0013371730664812767,0.0505292981744566
RALGDS,136.72668643686865,0.891164749705337,0.27717567188090086,3.2151622242238487,0.001303708235408089,0.0505292981744566
TPRG1L,141.18639656457464,-0.7918309602506394,0.2444946564402144,-3.238643215273147,0.0012009970754986775,0.0505292981744566
