,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AGPAT4,629.931048413769,-1.2331181500585346,0.16094742263235914,-7.661620980879324,1.836008091547777e-14,2.8568285904483414e-10
NCF2,403.0582803237844,1.573807244800665,0.21800411493900748,7.219163020115377,5.230851856432811e-13,4.069602744304727e-09
S100A6,8140.386666741809,0.9373143322269528,0.1352312963276495,6.931193870655139,4.173036829981029e-12,1.7898921251601696e-08
USH1C,139.86623571388583,-1.982539743020747,0.2866033793384608,-6.917363457461158,4.6012651032395105e-12,1.7898921251601696e-08
APOBR,214.93146128729308,1.5670136139568638,0.23598911172422427,6.640194551806561,3.1326938172319144e-11,9.748943159225717e-08
PDE1A,278.0597729609088,-1.6015612822814125,0.2474010646675,-6.4735424014195955,9.573153303213844e-11,2.482637756633457e-07
AQP1,12640.060741882642,1.0157069494679927,0.1640859467636812,6.190091043755427,6.012947481265632e-10,1.3365923258356173e-06
MOBP,12977.000971490945,-1.3357689099709606,0.21696016928474957,-6.156747177947809,7.425424432099964e-10,1.444245052043443e-06
ABCB1,538.1999144127298,-1.198532173251186,0.1988589388579353,-6.027047011989824,1.6698244403452735e-09,2.658520152734747e-06
ABCG2,389.3124494334068,-1.6016853610649042,0.2659132435831718,-6.023338061249786,1.7085605094696318e-09,2.658520152734747e-06
TYROBP,1075.2774043334114,1.3576270730287432,0.2307249798787172,5.884178963813944,4.000348017644195e-09,5.658674104958515e-06
ENPP6,352.34233606240775,-1.008568246087449,0.17242846812519996,-5.849197972083876,4.939489075057497e-09,5.912188462145742e-06
PTPRB,198.55701913252315,-1.1538951856003177,0.19701388360605435,-5.856923199928524,4.715210394343295e-09,5.912188462145742e-06
DMTF1,674.6375846765205,-0.6629181768405231,0.11408951442417865,-5.81050923203888,6.22830978542852e-09,6.922321447233412e-06
APOE,37368.581684823,1.4304452594924222,0.24779027069012877,5.7728063959429985,7.796200220791575e-09,8.087258362367793e-06
CD37,365.9101694124548,1.2933028247757279,0.2262519141144031,5.716207219010647,1.089278953856152e-08,1.0593237826251079e-05
NIPA1,463.2515670244398,-0.862391743186769,0.1515349549270544,-5.69104167155298,1.2626668491209383e-08,1.1557115395483411e-05
MAOB,2527.614093063187,0.959961785510511,0.16993457239371115,5.64900815642407,1.6137620000391475e-08,1.3950075955893964e-05
SOD2,5330.203815643124,1.7159838641865504,0.30540698618506773,5.618679145560588,1.9242281278152075e-08,1.575841561516033e-05
