,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AQP1,1236.9340047921403,1.3283282569984882,0.14807667309779737,8.970543632630054,2.950545309284168e-19,3.851346792208625e-15
APOBR,22.546203217022203,1.8106430559348903,0.23995199363244887,7.545855437685497,4.493282533349467e-14,2.93254084539053e-10
APOE,3818.5711264212114,1.6087785423094019,0.22104951199765702,7.27791040012092,3.390303720732972e-13,1.4751211488909162e-09
CEMIP,106.9796014982994,-2.969278734565192,0.42866304886462064,-6.926836223532163,4.30356309335411e-12,1.40436022643878e-08
S100A6,1073.9870408175136,0.8178904693234829,0.1208722649793959,6.766568571068821,1.3187255381018148e-11,3.4426648897685976e-08
FOXC1,64.37533687868215,-1.874179415231851,0.30120252897267447,-6.222322971935868,4.898473524083264e-10,1.065662915164314e-06
CYP4X1,15.915405696387113,-2.924708853137623,0.4836917731813433,-6.046637580584001,1.478999398677971e-09,2.757911307277651e-06
PLCB4,37.03273042851322,-1.4463945358723922,0.2405841145828988,-6.012011800446632,1.832349806173251e-09,2.818295594457271e-06
ARPC5,138.1205925924719,0.810216520097808,0.13498018846195145,6.002484730017945,1.9432054202187572e-09,2.818295594457271e-06
APOC1,88.83879100166946,2.4704979513761223,0.4265402488030275,5.791945679942097,6.957564734716828e-09,9.081709248225874e-06
RGS5,134.82085963963075,-1.20824629499708,0.21097648565186986,-5.726923980479962,1.0226796710974279e-08,1.0542688163059555e-05
CAPG,91.58773408265462,1.3594615231969245,0.23756634757455,5.722449905369344,1.0499880956084748e-08,1.0542688163059555e-05
RBMS3,80.11677071386877,-1.523408415948536,0.26611520268668704,-5.724620016324785,1.0366550218529618e-08,1.0542688163059555e-05
MAOB,310.14606474498754,0.9586497025031546,0.16810869858471447,5.702558586045239,1.1802232722355107e-08,1.1003895980350086e-05
CD44,365.5003671142122,0.9970181289602856,0.1757630319208273,5.672513258700464,1.4071762581462344e-08,1.2245247798388532e-05
UACA,105.61008240927852,-1.4504270586812325,0.2564720633483421,-5.655302334863865,1.5557217832545357e-08,1.2691772773013409e-05
DDR1,343.90721063219786,0.8253686969603296,0.14732034775025205,5.602543773244096,2.112286691774025e-08,1.6218634228074325e-05
