section,donor,condition,n_spots_raw,n_spots_qc,median_counts,median_genes,median_pct_mt
GBB-17-21-B10-CNS-sl4_V52L19-037_D11,H8_GB17,control,7471,7244,878.0,649.0,3.1942122004233804
GBB-18-01-A9-sl12_V52L06-298_C3,H5_GB18,control,7890,7166,661.0,472.0,2.931857748480641
GBB19-13-A13-sl5_V52L19-016_C9,H7_GB19,control,8196,7928,693.0,504.0,3.066790582403965
GBB20-16-A13-sl10_V52L18-332_C1,H1_GB20,control,9825,8354,538.5,392.0,9.152314255081324
GBB21-03-A12-sl5_V52L06-340_C12,H4_GB21,control,7359,7340,980.5,679.0,6.768633217479131
GWF-17-23_V52L18-276_D6,H0_GW23,control,9872,9858,3001.5,1814.0,5.1619667120723625
NEUDW867LF9_SCC_10-sl3_V52L19-016_C10,H2_NLF9,control,8853,7348,381.0,296.0,2.0618556701030926
NEUHD481VCL_SCC_19-sl14_V52L06-340_HCBOT,H3_NVCL,control,5904,5821,831.0,590.0,1.8691588785046727
NEUHD481VCL_SCC_19-sl14_V52L06-340_HCTOP,H3_NVCL,control,1243,1191,661.0,457.0,1.8830525272547076
NEUUJ189PPH_SSC_2-5_V52L19-048_D5,H9_NPPH,control,7583,7371,1219.0,876.0,2.565880721220527
GWF-17-24-10B-sl10_V52L18-402_B12,C5_GW24,C9-ALS,6393,4155,562.0,445.0,2.748414376321353
MILLERMI-AU-87-sl5_V52L19-037_D12,C3_AU87,C9-ALS,7568,7505,755.0,581.0,3.5264483627204033
MILLERMI-N14-280-CSC_V52L18-276_D7,C4_N280,C9-ALS,8409,8371,1086.0,742.0,4.892966360856269
MILLERMINEUWM_344ZLM-sl10_V52L06-367_D1,C2_NZLM,C9-ALS,6977,6961,3239.0,1933.0,6.517803258901629
GWF-20-50-10B-sl5_V52L18-332_C2,S1_GW50,sALS,8272,7476,1104.0,785.0,3.6859927131924755
GWF-19-37-10B-sl10_V52L18-387_C5,S2_GW37,sALS,9232,6214,505.0,394.0,2.0710059171597637
GWF-18-33-10B-sl11_V52L19-028_C7,S3_GW18,sALS,11634,10001,630.0,468.0,2.3613963039014374
GWF_19-35_10C-sl9_V52L06-367_D2,S4_GW35,sALS,6956,6859,1774.0,1190.0,2.987697715289982
GWF_19-47_10B_sl13_V52L19-048_HCBOT,S5_GW47,sALS,5156,3101,377.0,297.0,4.166666666666666
GWF_19-47_10B_sl13_V52L19-048_HCTOP,S5_GW47,sALS,3642,2517,434.0,339.0,4.0
