,Not_selected,TDP43_distant,TDP43_adjacent,Ring
GPNMB,0.25102642,0.5098275,0.43355474,0.38350984
CHIT1,0.027255632,0.049234267,0.0406401,0.050102532
C1QA,0.4221174,0.7622547,0.54745156,0.5990677
C1QB,0.42964917,0.69973195,0.6971049,0.76283693
C1QC,0.5906717,1.0133833,0.79099935,0.88449043
CD68,0.20005843,0.27864355,0.23869179,0.3322646
TYROBP,0.32224363,0.45550287,0.35812002,0.39972878
APOE,3.3867288,4.342524,4.3278255,4.3412247
MSR1,0.096235305,0.14051308,0.09075692,0.11639309
AIF1,0.40177292,0.60323244,0.52568465,0.5236033
TREM2,0.22121115,0.41409653,0.33133772,0.33952925
BIRC3,0.010373615,0.008050404,0.010307466,0.0
SOCS2,0.022290915,0.029912522,0.024929006,0.020581128
CALHM6,0.02638692,0.029189635,0.040157113,0.02883798
GFAP,5.840386,5.8077335,5.7804265,5.802431
CHAT,0.0049360823,0.019354207,0.016292054,0.022581495
NEFH,0.18282765,0.6494475,1.1743463,0.8418203
NEFL,0.39114925,1.133942,1.6162275,1.3489053
P2RY12,0.13113219,0.15364371,0.19088784,0.16361262
