gene,C9_donor_mean,sALS_donor_mean,diff,p
GPNMB,0.31072316,0.17037793,0.14034523,0.47553268
SOCS2,0.032347552,0.0,0.032347552,0.11867034
CHIT1,0.03774489,0.008954176,0.028790716,0.5584521
BIRC3,0.011006432,0.0,0.011006432,0.11867034
CALHM6,0.03887188,0.03536771,0.003504172,0.85714287
C1QB,0.53968567,0.5811973,-0.041511655,0.85714287
C1QA,0.42791712,0.55660504,-0.12868792,0.85714287
C1QC,0.63128525,0.8523333,-0.22104806,0.85714287
TREM2,0.15766096,0.48505744,-0.32739648,0.114285715
APOE,3.6664138,4.1447587,-0.47834492,0.62857145
